SURVEY_YEAR,CRUISE,MALE_WEIGHTED_GEAR_TEMP,A_BASE,AT,AT_OS,AOS,B,BMAT,BOS,BMAT_OS,A_NS,A_OS,log10_A_NS,log10_A_OS,BNS_IMMAT,BOS_IMMAT,BNS_MAT,BOS_MAT
1983,198303,3.687369184,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.460989093,-3.646236071,0.000345948,0.000225821,2.95405,3.06986,2.97702,3.07612
1979,197902,3.967729253,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.460254549,-3.645280043,0.000346534,0.000226318,2.95405,3.06986,2.97702,3.07612
1980,198002,3.158854678,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.462373801,-3.648038306,0.000344847,0.000224886,2.95405,3.06986,2.97702,3.07612
1993,199301,2.777239393,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.463373633,-3.649339614,0.000344054,0.000224213,2.95405,3.06986,2.97702,3.07612
2016,201601,4.780718393,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.458124518,-3.64250775,0.000348237,0.000227768,2.95405,3.06986,2.97702,3.07612
2022,202201,2.744858296,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.463458471,-3.649450033,0.000343987,0.000224156,2.95405,3.06986,2.97702,3.07612
1997,199701,2.628676855,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.463762867,-3.649846212,0.000343746,0.000223951,2.95405,3.06986,2.97702,3.07612
1976,197602,1.766553653,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.466021629,-3.652786052,0.000341962,0.000222441,2.95405,3.06986,2.97702,3.07612
1978,197802,3.511699729,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.461449347,-3.646835104,0.000345582,0.00022551,2.95405,3.06986,2.97702,3.07612
1996,199601,2.976115365,-3.47065,0.00262,0.00079,-0.18816,2.95405,0.02297,0.11581,-0.01671,-3.462852578,-3.648661447,0.000344467,0.000224563,2.95405,3.06986,2.97702,3.07612
