SURVEY_YEAR,CRUISE,MATURE_FEMALE_WEIGHTED_GEAR_TEMP,A_BASE,AT,AOS,B,BT,BOS,A_NS,A_OS,LOG10_A_NS,LOG10_A_OS,B_NS,B_OS
1996,199601,2.802880788,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.333581997,-3.160306637,0.000463893,0.000691343,2.878360393,2.802528323
1997,199701,2.569400913,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.315415014,-3.142139654,0.00048371,0.000720876,2.868549525,2.792717455
1998,199801,3.349027542,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.376077474,-3.202802114,0.000420652,0.000626899,2.901309584,2.825477514
1999,199901,2.244425611,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.290128806,-3.116853446,0.000512709,0.000764094,2.854894001,2.779061931
2000,200001,2.49249838,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.309431257,-3.136155897,0.000490421,0.000730877,2.865318065,2.789485995
2001,200101,3.673964371,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.401360688,-3.228085328,0.000396862,0.000591445,2.914963491,2.839131421
2002,200201,3.658959594,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.400193172,-3.226917812,0.00039793,0.000593038,2.914332987,2.838500917
2003,200301,4.099589724,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.43447844,-3.26120308,0.000367724,0.000548021,2.932848349,2.857016279
2004,200401,3.888750338,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.418073105,-3.244797745,0.00038188,0.000569118,2.923988838,2.848156768
2005,200501,4.014288694,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.427841198,-3.254565838,0.000373387,0.00055646,2.929263984,2.853431914
2006,200601,3.136094071,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.359509199,-3.186233839,0.000437009,0.000651278,2.892362079,2.816530009
2007,200701,2.636545952,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.320639545,-3.147364185,0.000477926,0.000712256,2.871370972,2.795538902
2008,200801,2.531986046,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.312503777,-3.139228417,0.000486963,0.000725724,2.866977345,2.791145275
2009,200901,2.518564121,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.311459422,-3.138184062,0.000488136,0.000727471,2.866413353,2.790581283
2010,201001,2.903408791,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.341404044,-3.168128684,0.000455613,0.000679002,2.882584599,2.806752529
2011,201101,3.136331328,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.35952766,-3.1862523,0.000436991,0.00065125,2.892372048,2.816539978
2012,201201,0.5216128,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.156077379,-2.982802019,0.000698108,0.001040394,2.782501079,2.706669009
2013,201301,1.037411288,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.196211468,-3.022936108,0.000636486,0.000948558,2.804175029,2.728342959
2014,201401,3.511232324,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.388698568,-3.215423208,0.000408603,0.000608943,2.908125459,2.832293389
2015,201501,4.263456612,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.447228861,-3.273953501,0.000357085,0.000532165,2.939734067,2.863901997
2016,201601,4.352366444,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.454146903,-3.280871543,0.000351442,0.000523755,2.943470075,2.867638005
2017,201701,3.47660577,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.386004289,-3.212728929,0.000411146,0.000612733,2.906670445,2.830838375
2018,201801,4.263756867,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.447252224,-3.273976864,0.000357065,0.000532137,2.939746684,2.863914614
2019,201901,4.403076927,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.458092667,-3.284817307,0.000348263,0.000519018,2.945600939,2.869768869
2021,202101,3.853343097,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.415318081,-3.242042721,0.00038431,0.00057274,2.922501019,2.846668949
2022,202201,3.142726175,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.360025241,-3.186749881,0.00043649,0.000650504,2.892640761,2.816808691
2023,202301,3.270933767,-3.11549088,-0.07780963,0.17327536,2.76058281,0.04202019,-0.07583207,-3.370001026,-3.196725666,0.000426579,0.000635732,2.898028068,2.822195998
