,ACCESS_ID,HAULJOIN,CRUISE,VESSEL,HAUL,GIS_STATION,SPECIES_CODE,SEX,LENGTH,WIDTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,WEIGHT,CHELA_HEIGHT,COMMENTS,YEAR,log10.width,log10.weight,log.width,log.weight,Cooks_D,SC,Maturity
202,NA,-8723,201201,162,167,O-23,68580,1,NA,29.5,2,NA,NA,NA,10,NA,,2012,1.469822016,1,3.384390263,2.302585093,0.000155382,NS,#VALUE!
203,NA,-10202,201301,89,158,O-25,68580,1,NA,29.5,2,NA,NA,NA,10,3.6,,2013,1.469822016,1,3.384390263,2.302585093,0.000155382,NS,Immature
209,5427,-5668,200901,88,175,U-29,68580,1,NA,29.7,2,NA,NA,NA,10,3.8,,2009,1.472756449,1,3.391147046,2.302585093,5.50E-05,NS,Immature
215,NA,-8591,201201,162,115,P-19,68580,1,NA,29.9,2,NA,NA,NA,10,NA,,2012,1.475671188,1,3.39785848,2.302585093,6.07E-06,NS,#VALUE!
219,5240,-6715,201001,89,102,JI1918,68580,1,NA,30,2,NA,NA,NA,10,4.2,,2010,1.477121255,1,3.401197382,2.302585093,7.88E-10,NS,Immature
221,NA,-14571,201501,162,165,QP2524,68580,1,NA,30,2,NA,NA,NA,10,4.4,,2015,1.477121255,1,3.401197382,2.302585093,7.88E-10,NS,Immature
229,3520,-7168,201002,162,15,U-24,68580,1,NA,30.2,2,NA,NA,NA,9.6,4.1,EBS Northern Extension,2010,1.480006943,0.982271233,3.407841924,2.261763098,0.000206514,NS,Immature
231,NA,-14716,201501,94,148,N-27,68580,1,NA,30.2,2,NA,NA,NA,10,4.3,,2015,1.480006943,1,3.407841924,2.302585093,2.27E-05,NS,Immature
237,NA,-14502,201501,94,89,M-19,68580,1,NA,30.3,2,NA,NA,NA,10,4.2,,2015,1.481442629,1,3.411147713,2.302585093,5.09E-05,NS,Immature
249,NA,-17060,201701,94,215,V-25,68580,1,NA,30.7,2,NA,NA,NA,10,4.1,,2017,1.487138375,1,3.424262655,2.302585093,0.000266918,NS,Immature
250,NA,-8960,201201,89,108,N-18,68580,1,NA,30.8,2,NA,NA,NA,10,4.3,,2012,1.488550717,1,3.42751469,2.302585093,0.000345216,NS,Immature
251,NA,-9624,201202,162,37,CH30-I04,68580,1,NA,30.8,2,NA,NA,NA,12,4.9,,2012,1.488550717,1.079181246,3.42751469,2.48490665,0.000548051,NS,Immature
252,NA,-14498,201501,94,85,Q-19,68580,1,NA,30.8,2,NA,NA,NA,12,3.9,,2015,1.488550717,1.079181246,3.42751469,2.48490665,0.000548051,NS,Immature
253,NA,-14499,201501,94,86,P-19,68580,1,NA,30.9,2,NA,NA,NA,12,4.2,,2015,1.489958479,1.079181246,3.430756184,2.48490665,0.000442896,NS,Immature
254,NA,-14716,201501,94,148,N-27,68580,1,NA,30.9,2,NA,NA,NA,10,4.2,,2015,1.489958479,1,3.430756184,2.302585093,0.000432605,NS,Immature
