,ACCESS_ID,HAULJOIN,CRUISE,VESSEL,HAUL,GIS_STATION,SPECIES_CODE,SEX,LENGTH,WIDTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,WEIGHT,CHELA_HEIGHT,COMMENTS,YEAR,log10.width,log10.weight,log.width,log.weight,Cooks_D,SC,Maturity
2723,NA,-16944,201701,162,130,Q-25,68580,1,NA,48.8,2,NA,NA,NA,44,7.8,,2017,1.688419822,1.643452676,3.887730313,3.784189634,2.29E-06,NS,Immature
2726,1178,-11353,200601,134,101,S-23,68580,1,NA,48.9,2,NA,NA,NA,50,10.8,,2006,1.689308859,1.698970004,3.889777396,3.912023005,0.000193527,NS,Mature
2730,3260,-6930,201001,162,241,U-29,68580,1,NA,48.9,2,NA,NA,NA,42,8.1,,2010,1.689308859,1.62324929,3.889777396,3.737669618,6.74E-05,NS,Immature
2731,3325,-7155,201002,162,2,W-25,68580,1,NA,48.9,2,NA,NA,NA,44,8.6,EBS Northern Extension,2010,1.689308859,1.643452676,3.889777396,3.784189634,5.32E-06,NS,Immature
2732,3327,-7155,201002,162,2,W-25,68580,1,NA,48.9,2,NA,NA,NA,42,7.5,EBS Northern Extension,2010,1.689308859,1.62324929,3.889777396,3.737669618,6.74E-05,NS,Immature
2733,3461,-7165,201002,162,12,X-24,68580,1,NA,48.9,2,NA,NA,NA,45,NA,EBS Northern Extension,2010,1.689308859,1.653212514,3.889777396,3.80666249,2.96E-07,NS,#VALUE!
2736,NA,-8994,201201,89,152,R-25,68580,1,NA,48.9,2,NA,NA,NA,46,NA,,2012,1.689308859,1.662757832,3.889777396,3.828641396,1.11E-05,NS,#VALUE!
2740,NA,-10247,201301,89,164,Q-25,68580,1,NA,48.9,2,NA,NA,NA,44,7.6,,2013,1.689308859,1.643452676,3.889777396,3.784189634,5.32E-06,NS,Immature
2743,NA,-9623,201202,162,36,CH30-I04,68580,1,NA,48.9,2,NA,NA,NA,44,8,,2012,1.689308859,1.643452676,3.889777396,3.784189634,5.32E-06,NS,Immature
2744,NA,-14582,201501,162,176,S-24,68580,1,NA,48.9,2,NA,NA,NA,44,7.8,,2015,1.689308859,1.643452676,3.889777396,3.784189634,5.32E-06,NS,Immature
2745,NA,-14582,201501,162,176,S-24,68580,1,NA,48.9,2,NA,NA,NA,44,7.8,,2015,1.689308859,1.643452676,3.889777396,3.784189634,5.32E-06,NS,Immature
2746,NA,-9708,201202,162,82,CH30-M06,68580,1,NA,48.9,2,NA,NA,NA,42,6.3,,2012,1.689308859,1.62324929,3.889777396,3.737669618,6.74E-05,NS,Immature
2753,768,1010832,200001,89,143,T-26,68580,1,NA,49,2,NA,NA,NA,44,NA,,2000,1.69019608,1.643452676,3.891820298,3.784189634,9.57E-06,NS,#VALUE!
2754,1621,1063276,200101,89,134,Q-21,68580,1,NA,49,2,NA,NA,NA,42,NA,,2001,1.69019608,1.62324929,3.891820298,3.737669618,8.06E-05,NS,#VALUE!
2759,3191,-3772,200701,89,170,R-23,68580,1,NA,49,2,NA,NA,NA,43.5,12,,2007,1.69019608,1.638489257,3.891820298,3.772760938,2.06E-05,NS,Mature
2760,5284,-5361,200901,88,99,Q-20,68580,1,NA,49,2,NA,NA,NA,46,7.3,,2009,1.69019608,1.662757832,3.891820298,3.828641396,6.40E-06,NS,Immature
2764,2815,-6916,201001,162,227,P-23,68580,1,NA,49,2,NA,NA,NA,42,8.2,,2010,1.69019608,1.62324929,3.891820298,3.737669618,8.06E-05,NS,Immature
2788,1511,-11433,200601,134,181,Y-24,68580,1,NA,49.1,2,NA,NA,NA,40,7.6,,2006,1.691081492,1.602059991,3.893859035,3.688879454,0.000252693,NS,Immature
2793,2175,-6889,201001,162,200,Q-26,68580,1,NA,49.1,2,NA,NA,NA,42,8.3,,2010,1.691081492,1.62324929,3.893859035,3.737669618,9.49E-05,NS,Immature
2795,2863,-6919,201001,162,230,S-24,68580,1,NA,49.1,2,NA,NA,NA,42,8.4,,2010,1.691081492,1.62324929,3.893859035,3.737669618,9.49E-05,NS,Immature
2798,NA,-10224,201301,162,165,S-26,68580,1,NA,49.1,2,NA,NA,NA,43,8.2,,2013,1.691081492,1.633468456,3.893859035,3.761200116,4.59E-05,NS,Immature
2801,NA,-10257,201301,89,174,U-29,68580,1,NA,49.1,2,NA,NA,NA,44,6.8,,2013,1.691081492,1.643452676,3.893859035,3.784189634,1.50E-05,NS,Immature
2804,NA,-10259,201301,89,176,T-29,68580,1,NA,49.1,2,NA,NA,NA,46,7.6,,2013,1.691081492,1.662757832,3.893859035,3.828641396,3.00E-06,NS,Immature
2809,NA,-19271,201901,162,95,Q-19,68580,1,NA,49.1,2,NA,NA,NA,50,8.6,,2019,1.691081492,1.698970004,3.893859035,3.912023005,0.000150066,NS,Immature
2814,NA,-16981,201701,162,132,P-25,68580,1,NA,49.1,2,NA,NA,NA,50,9,,2017,1.691081492,1.698970004,3.893859035,3.912023005,0.000150066,NS,Immature
2816,491,-11659,200601,88,171,V-22,68580,1,NA,49.2,2,NA,NA,NA,48,8.2,,2006,1.691965103,1.681241237,3.895893623,3.871201011,3.96E-05,NS,Immature
2824,2847,-6918,201001,162,229,S-23,68580,1,NA,49.2,2,NA,NA,NA,44,8.2,,2010,1.691965103,1.643452676,3.895893623,3.784189634,2.16E-05,NS,Immature
2830,NA,-10085,201301,89,93,J-18,68580,1,NA,49.2,2,NA,NA,NA,40,7.3,,2013,1.691965103,1.602059991,3.895893623,3.688879454,0.000276753,NS,Immature
2831,NA,-8585,201201,162,121,K-18,68580,1,NA,49.2,2,NA,NA,NA,46,NA,,2012,1.691965103,1.662757832,3.895893623,3.828641396,8.88E-07,NS,#VALUE!
2835,NA,-10250,201301,89,167,S-25,68580,1,NA,49.2,2,NA,NA,NA,44,8.2,,2013,1.691965103,1.643452676,3.895893623,3.784189634,2.16E-05,NS,Immature
2838,NA,-9624,201202,162,37,CH30-I04,68580,1,NA,49.2,2,NA,NA,NA,44,7.9,,2012,1.691965103,1.643452676,3.895893623,3.784189634,2.16E-05,NS,Immature
2856,NA,-10235,201301,162,176,S-27,68580,1,NA,49.3,2,NA,NA,NA,44,8.1,,2013,1.692846919,1.643452676,3.897924081,3.784189634,2.93E-05,NS,Immature
2864,NA,-19266,201901,162,90,P-01,68580,1,NA,49.3,2,NA,NA,NA,50,7.6,,2019,1.692846919,1.698970004,3.897924081,3.912023005,0.000112666,NS,Immature
2870,NA,-16781,201701,162,103,P-20,68580,1,NA,49.3,2,NA,NA,NA,46,7.8,,2017,1.692846919,1.662757832,3.897924081,3.828641396,2.49E-08,NS,Immature
2893,NA,-16971,201701,94,166,N-23,68580,1,NA,49.4,2,NA,NA,NA,45,7.7,,2017,1.693726949,1.653212514,3.899950424,3.80666249,1.14E-05,NS,Immature
2895,508,-11661,200601,88,173,W-23,68580,1,NA,49.5,2,NA,NA,NA,46,7.8,,2006,1.694605199,1.662757832,3.90197267,3.828641396,1.94E-06,NS,Immature
2899,2032,-6878,201001,162,189,PO2423,68580,1,NA,49.5,2,NA,NA,NA,46,8.7,,2010,1.694605199,1.662757832,3.90197267,3.828641396,1.94E-06,NS,Immature
2905,NA,-10230,201301,162,171,T-28,68580,1,NA,49.5,2,NA,NA,NA,44,8.5,,2013,1.694605199,1.643452676,3.90197267,3.784189634,4.81E-05,NS,Immature
2911,NA,-9624,201202,162,37,CH30-I04,68580,1,NA,49.5,2,NA,NA,NA,46,8.4,,2012,1.694605199,1.662757832,3.90197267,3.828641396,1.94E-06,NS,Immature
2920,247,-11586,200601,88,98,T-22,68580,1,NA,49.6,2,NA,NA,NA,42,7.5,,2006,1.695481676,1.62324929,3.903990834,3.737669618,0.000181441,NS,Immature
2924,2812,-6916,201001,162,227,P-23,68580,1,NA,49.6,2,NA,NA,NA,40,7.8,,2010,1.695481676,1.602059991,3.903990834,3.688879454,0.000381664,NS,Immature
2925,2828,-6917,201001,162,228,R-23,68580,1,NA,49.6,2,NA,NA,NA,46,8,,2010,1.695481676,1.662757832,3.903990834,3.828641396,4.66E-06,NS,Immature
2926,719,-7959,201101,89,122,K-21,68580,1,NA,49.6,2,NA,NA,NA,44,8.3,,2011,1.695481676,1.643452676,3.903990834,3.784189634,5.91E-05,NS,Immature
2929,NA,-8992,201201,89,150,S-24,68580,1,NA,49.6,2,NA,NA,NA,46,NA,,2012,1.695481676,1.662757832,3.903990834,3.828641396,4.66E-06,NS,#VALUE!
2935,NA,-9046,201201,162,202,R-26,68580,1,NA,49.6,2,NA,NA,NA,46,NA,,2012,1.695481676,1.662757832,3.903990834,3.828641396,4.66E-06,NS,#VALUE!
2936,NA,-10203,201301,89,159,PO2524,68580,1,NA,49.6,2,NA,NA,NA,46,8,,2013,1.695481676,1.662757832,3.903990834,3.828641396,4.66E-06,NS,Immature
2939,NA,-9624,201202,162,37,CH30-I04,68580,1,NA,49.6,2,NA,NA,NA,48,8,,2012,1.695481676,1.681241237,3.903990834,3.871201011,9.81E-06,NS,Immature
2940,NA,-9710,201202,162,84,CH30-N05,68580,1,NA,49.6,2,NA,NA,NA,40,7.4,,2012,1.695481676,1.602059991,3.903990834,3.688879454,0.000381664,NS,Immature
2948,NA,-16944,201701,162,130,Q-25,68580,1,NA,49.6,2,NA,NA,NA,48,8.6,,2017,1.695481676,1.681241237,3.903990834,3.871201011,9.81E-06,NS,Immature
2949,NA,-17052,201701,94,209,U-28,68580,1,NA,49.6,2,NA,NA,NA,50,7.6,,2017,1.695481676,1.698970004,3.903990834,3.912023005,6.74E-05,NS,Immature
2956,5423,-5668,200901,88,175,U-29,68580,1,NA,49.7,2,NA,NA,NA,40,6.4,,2009,1.696356389,1.602059991,3.906004933,3.688879454,0.000409945,NS,Immature
2961,2597,-6907,201001,162,218,S-28,68580,1,NA,49.7,2,NA,NA,NA,48,8.6,,2010,1.696356389,1.681241237,3.906004933,3.871201011,5.55E-06,NS,Immature
2970,NA,-14724,201501,94,170,U-27,68580,1,NA,49.7,2,NA,NA,NA,48,8.8,,2015,1.696356389,1.681241237,3.906004933,3.871201011,5.55E-06,NS,Immature
2977,NA,-19212,201901,94,134,P-21,68580,1,NA,49.7,2,NA,NA,NA,48,NA,,2019,1.696356389,1.681241237,3.906004933,3.871201011,5.55E-06,NS,#VALUE!
2985,488,-11659,200601,88,171,V-22,68580,1,NA,49.8,2,NA,NA,NA,46,7.4,,2006,1.697229343,1.662757832,3.908014984,3.828641396,1.35E-05,NS,Immature
2987,3203,-3774,200701,89,172,S-24,68580,1,NA,49.8,2,NA,NA,NA,45.5,8.4,,2007,1.697229343,1.658011397,3.908014984,3.817712326,2.53E-05,NS,Immature
2990,3190,-6927,201001,162,238,T-27,68580,1,NA,49.8,2,NA,NA,NA,46,8.6,,2010,1.697229343,1.662757832,3.908014984,3.828641396,1.35E-05,NS,Immature
2991,3218,-6928,201001,162,239,T-28,68580,1,NA,49.8,2,NA,NA,NA,46,8.4,,2010,1.697229343,1.662757832,3.908014984,3.828641396,1.35E-05,NS,Immature
2992,2740,-6913,201001,162,224,Q-27,68580,1,NA,49.8,2,NA,NA,NA,46,8.7,,2010,1.697229343,1.662757832,3.908014984,3.828641396,1.35E-05,NS,Immature
2993,2827,-6917,201001,162,228,R-23,68580,1,NA,49.8,2,NA,NA,NA,44,8,,2010,1.697229343,1.643452676,3.908014984,3.784189634,8.41E-05,NS,Immature
2999,NA,-8619,201201,162,152,S-22,68580,1,NA,49.8,2,NA,NA,NA,46,NA,,2012,1.697229343,1.662757832,3.908014984,3.828641396,1.35E-05,NS,#VALUE!
3002,NA,-10233,201301,162,174,R-29,68580,1,NA,49.8,2,NA,NA,NA,46,8.8,,2013,1.697229343,1.662757832,3.908014984,3.828641396,1.35E-05,NS,Immature
3003,NA,-10233,201301,162,174,R-29,68580,1,NA,49.8,2,NA,NA,NA,44,8.1,,2013,1.697229343,1.643452676,3.908014984,3.784189634,8.41E-05,NS,Immature
3005,NA,-9613,201202,162,26,CH30-E02,68580,1,NA,49.8,2,NA,NA,NA,44,8.1,,2012,1.697229343,1.643452676,3.908014984,3.784189634,8.41E-05,NS,Immature
3009,NA,-17004,201701,94,185,S-25,68580,1,NA,49.8,2,NA,NA,NA,50,8,,2017,1.697229343,1.698970004,3.908014984,3.912023005,4.40E-05,NS,Immature
3014,3037,-3759,200701,89,157,O-23,68580,1,NA,49.9,2,NA,NA,NA,48,NA,,2007,1.698100546,1.681241237,3.910021003,3.871201011,6.78E-07,NS,#VALUE!
3028,NA,-9624,201202,162,37,CH30-I04,68580,1,NA,49.9,2,NA,NA,NA,44,7.3,,2012,1.698100546,1.643452676,3.910021003,3.784189634,9.81E-05,NS,Immature
3035,NA,-17004,201701,94,185,S-25,68580,1,NA,49.9,2,NA,NA,NA,50,8.6,,2017,1.698100546,1.698970004,3.910021003,3.912023005,3.43E-05,NS,Immature
3040,764,1010832,200001,89,143,T-26,68580,1,NA,50,2,NA,NA,NA,42,NA,,2000,1.698970004,1.62324929,3.912023005,3.737669618,0.000267288,NS,#VALUE!
3041,766,1010793,200001,89,117,Q-22,68580,1,NA,50,2,NA,NA,NA,44,NA,,2000,1.698970004,1.643452676,3.912023005,3.784189634,0.000113005,NS,#VALUE!
3042,770,1010789,200001,89,113,N-20,68580,1,NA,50,2,NA,NA,NA,46,NA,,2000,1.698970004,1.662757832,3.912023005,3.828641396,2.67E-05,NS,#VALUE!
3046,1619,1063305,200101,89,133,P-21,68580,1,NA,50,2,NA,NA,NA,42,NA,,2001,1.698970004,1.62324929,3.912023005,3.737669618,0.000267288,NS,#VALUE!
3048,1229,-11362,200601,134,110,K-20,68580,1,NA,50,2,NA,NA,NA,49,8.1,,2006,1.698970004,1.69019608,3.912023005,3.891820298,6.76E-06,NS,Immature
3052,3210,-3774,200701,89,172,S-24,68580,1,NA,50,2,NA,NA,NA,45.5,8.4,,2007,1.698970004,1.658011397,3.912023005,3.817712326,4.24E-05,NS,Immature
3057,2849,-6918,201001,162,229,S-23,68580,1,NA,50,2,NA,NA,NA,46,8.2,,2010,1.698970004,1.662757832,3.912023005,3.828641396,2.67E-05,NS,Immature
3059,3460,-7165,201002,162,12,X-24,68580,1,NA,50,2,NA,NA,NA,46,NA,EBS Northern Extension,2010,1.698970004,1.662757832,3.912023005,3.828641396,2.67E-05,NS,#VALUE!
3064,NA,-10144,201301,89,118,K-19,68580,1,NA,50,2,NA,NA,NA,46,8.2,,2013,1.698970004,1.662757832,3.912023005,3.828641396,2.67E-05,NS,Immature
3068,NA,-10202,201301,89,158,O-25,68580,1,NA,50,2,NA,NA,NA,40,7,,2013,1.698970004,1.602059991,3.912023005,3.688879454,0.000499369,NS,Immature
3071,1713,-8177,201101,162,176,S-26,68580,1,NA,50,2,NA,NA,NA,46,8.2,,2011,1.698970004,1.662757832,3.912023005,3.828641396,2.67E-05,NS,Immature
3072,NA,-9614,201202,162,27,CH30-E02,68580,1,NA,50,2,NA,NA,NA,44,8.4,,2012,1.698970004,1.643452676,3.912023005,3.784189634,0.000113005,NS,Immature
3073,NA,-14579,201501,162,173,R-22,68580,1,NA,50,2,NA,NA,NA,48,8.2,,2015,1.698970004,1.681241237,3.912023005,3.871201011,4.31E-09,NS,Immature
3086,3500,-7167,201002,162,14,V-24,68580,1,NA,50.1,2,NA,NA,NA,46,NA,EBS Northern Extension,2010,1.699837726,1.662757832,3.914021008,3.828641396,3.48E-05,NS,#VALUE!
3093,NA,-9046,201201,162,202,R-26,68580,1,NA,50.1,2,NA,NA,NA,40,NA,,2012,1.699837726,1.602059991,3.914021008,3.688879454,0.000530635,NS,#VALUE!
3094,NA,-9044,201201,162,205,T-26,68580,1,NA,50.1,2,NA,NA,NA,46,NA,,2012,1.699837726,1.662757832,3.914021008,3.828641396,3.48E-05,NS,#VALUE!
3095,NA,-10205,201301,89,161,PO2423,68580,1,NA,50.1,2,NA,NA,NA,46,8.2,,2013,1.699837726,1.662757832,3.914021008,3.828641396,3.48E-05,NS,Immature
3097,NA,-9610,201202,162,23,CH30-D01,68580,1,NA,50.1,2,NA,NA,NA,46,7.3,,2012,1.699837726,1.662757832,3.914021008,3.828641396,3.48E-05,NS,Immature
3100,NA,-14539,201501,162,161,O-24,68580,1,NA,50.1,2,NA,NA,NA,52,8.7,,2015,1.699837726,1.716003344,3.914021008,3.951243719,8.33E-05,NS,Immature
3105,NA,-19466,201901,94,202,T-25,68580,1,NA,50.1,2,NA,NA,NA,52,9.8,,2019,1.699837726,1.716003344,3.914021008,3.951243719,8.33E-05,NS,Mature
3107,NA,-17058,201701,94,213,U-26,68580,1,NA,50.1,2,NA,NA,NA,45,8.3,,2017,1.699837726,1.653212514,3.914021008,3.80666249,7.39E-05,NS,Immature
3108,NA,-16988,201701,162,139,S-23,68580,1,NA,50.1,2,NA,NA,NA,56,7.9,,2017,1.699837726,1.748188027,3.914021008,4.025351691,0.000331588,NS,Immature
3124,NA,-10224,201301,162,165,S-26,68580,1,NA,50.2,2,NA,NA,NA,44,8.2,,2013,1.700703717,1.643452676,3.916015027,3.784189634,0.000145654,NS,Immature
3125,NA,-8617,201201,162,150,Q-22,68580,1,NA,50.2,2,NA,NA,NA,46,NA,,2012,1.700703717,1.662757832,3.916015027,3.828641396,4.40E-05,NS,#VALUE!
3130,NA,-9614,201202,162,27,CH30-E02,68580,1,NA,50.2,2,NA,NA,NA,44,7.7,,2012,1.700703717,1.643452676,3.916015027,3.784189634,0.000145654,NS,Immature
3136,NA,-19398,201901,162,155,Q-26,68580,1,NA,50.2,2,NA,NA,NA,52,6.9,,2019,1.700703717,1.716003344,3.916015027,3.951243719,6.97E-05,NS,Immature
3138,NA,-17005,201701,94,186,T-25,68580,1,NA,50.2,2,NA,NA,NA,50,8.1,,2017,1.700703717,1.698970004,3.916015027,3.912023005,1.27E-05,NS,Immature
3139,NA,-16992,201701,162,143,S-26,68580,1,NA,50.2,2,NA,NA,NA,50,NA,,2017,1.700703717,1.698970004,3.916015027,3.912023005,1.27E-05,NS,#VALUE!
3141,3006,-3756,200701,89,154,P-21,68580,1,NA,50.3,2,NA,NA,NA,45,7.9,,2007,1.701567985,1.653212514,3.918005077,3.80666249,0.000100808,NS,Immature
3142,3156,-3770,200701,89,168,Q-23,68580,1,NA,50.3,2,NA,NA,NA,48,8.6,,2007,1.701567985,1.681241237,3.918005077,3.871201011,4.72E-06,NS,Immature
3145,3071,-6922,201001,162,233,S-25,68580,1,NA,50.3,2,NA,NA,NA,50,8.5,,2010,1.701567985,1.698970004,3.918005077,3.912023005,7.85E-06,NS,Immature
3150,3355,-7156,201002,162,3,W-26,68580,1,NA,50.3,2,NA,NA,NA,48,8.8,EBS Northern Extension,2010,1.701567985,1.681241237,3.918005077,3.871201011,4.72E-06,NS,Immature
3151,3383,-7158,201002,162,5,X-25,68580,1,NA,50.3,2,NA,NA,NA,48,8.4,EBS Northern Extension,2010,1.701567985,1.681241237,3.918005077,3.871201011,4.72E-06,NS,Immature
3153,787,-7972,201101,89,135,Q-22,68580,1,NA,50.3,2,NA,NA,NA,50,8.4,,2011,1.701567985,1.698970004,3.918005077,3.912023005,7.85E-06,NS,Immature
3159,NA,-9708,201202,162,82,CH30-M06,68580,1,NA,50.3,2,NA,NA,NA,46,7.9,,2012,1.701567985,1.662757832,3.918005077,3.828641396,5.42E-05,NS,Immature
3160,NA,-9714,201202,162,88,CH30-O02,68580,1,NA,50.3,2,NA,NA,NA,44,7.8,,2012,1.701567985,1.643452676,3.918005077,3.784189634,0.00016332,NS,Immature
3161,NA,-9673,201202,162,112,CH30-M01,68580,1,NA,50.3,2,NA,NA,NA,42,8.6,,2012,1.701567985,1.62324929,3.918005077,3.737669618,0.000340411,NS,Immature
3166,NA,-16998,201701,94,179,P-23,68580,1,NA,50.3,2,NA,NA,NA,45,7.3,,2017,1.701567985,1.653212514,3.918005077,3.80666249,0.000100808,NS,Immature
3167,NA,-17002,201701,94,183,R-22,68580,1,NA,50.3,2,NA,NA,NA,40,NA,,2017,1.701567985,1.602059991,3.918005077,3.688879454,0.000595238,NS,#VALUE!
3170,NA,-16974,201701,94,169,O-23,68580,1,NA,50.3,2,NA,NA,NA,55,8.3,,2017,1.701567985,1.740362689,3.918005077,4.007333185,0.000207949,NS,Immature
3173,599,-11673,200601,88,185,P-26,68580,1,NA,50.4,2,NA,NA,NA,52,9.7,,2006,1.702430536,1.716003344,3.919991175,3.951243719,4.65E-05,NS,Mature
3176,3100,-6923,201001,162,234,S-26,68580,1,NA,50.4,2,NA,NA,NA,50,8.5,,2010,1.702430536,1.698970004,3.919991175,3.912023005,4.22E-06,NS,Immature
3178,3359,-7156,201002,162,3,W-26,68580,1,NA,50.4,2,NA,NA,NA,46,8.5,EBS Northern Extension,2010,1.702430536,1.662757832,3.919991175,3.828641396,6.53E-05,NS,Immature
3179,3501,-7167,201002,162,14,V-24,68580,1,NA,50.4,2,NA,NA,NA,44,NA,EBS Northern Extension,2010,1.702430536,1.643452676,3.919991175,3.784189634,0.00018185,NS,#VALUE!
3182,NA,-10222,201301,162,163,Q-26,68580,1,NA,50.4,2,NA,NA,NA,45,8,,2013,1.702430536,1.653212514,3.919991175,3.80666249,0.000115638,NS,Immature
3198,5285,-5361,200901,88,99,Q-20,68580,1,NA,50.5,2,NA,NA,NA,50,8.3,,2009,1.703291378,1.698970004,3.921973336,3.912023005,1.72E-06,NS,Immature
3201,423,-6158,201001,162,39,H-07,68580,1,NA,50.5,2,NA,NA,NA,48,6.6,,2010,1.703291378,1.681241237,3.921973336,3.871201011,1.32E-05,NS,Immature
3202,3176,-6926,201001,162,237,T-26,68580,1,NA,50.5,2,NA,NA,NA,48,7.7,,2010,1.703291378,1.681241237,3.921973336,3.871201011,1.32E-05,NS,Immature
3203,3459,-7165,201002,162,12,X-24,68580,1,NA,50.5,2,NA,NA,NA,44,NA,EBS Northern Extension,2010,1.703291378,1.643452676,3.921973336,3.784189634,0.000201224,NS,#VALUE!
3219,NA,-19425,201901,94,183,N-30,68580,1,NA,50.5,2,NA,NA,NA,48,7.6,,2019,1.703291378,1.681241237,3.921973336,3.871201011,1.32E-05,NS,Immature
3224,1151,-11350,200601,134,98,U-21,68580,1,NA,50.6,2,NA,NA,NA,47,8.4,,2006,1.704150517,1.672097858,3.923951576,3.850147602,4.77E-05,NS,Immature
3225,1269,-11370,200601,134,118,JI2120,68580,1,NA,50.6,2,NA,NA,NA,52,9.9,,2006,1.704150517,1.716003344,3.923951576,3.951243719,2.82E-05,NS,Mature
3227,528,-11666,200601,88,178,U-26,68580,1,NA,50.6,2,NA,NA,NA,48,7.9,,2006,1.704150517,1.681241237,3.923951576,3.871201011,1.90E-05,NS,Immature
3228,479,-11658,200601,88,170,V-23,68580,1,NA,50.6,2,NA,NA,NA,46,8.7,,2006,1.704150517,1.662757832,3.923951576,3.828641396,9.04E-05,NS,Immature
3229,1494,-11429,200601,134,177,T-25,68580,1,NA,50.6,2,NA,NA,NA,40,7.9,,2006,1.704150517,1.602059991,3.923951576,3.688879454,0.000697039,NS,Immature
3230,1495,-11429,200601,134,177,T-25,68580,1,NA,50.6,2,NA,NA,NA,48,10,,2006,1.704150517,1.681241237,3.923951576,3.871201011,1.90E-05,NS,Mature
3231,2997,-3755,200701,89,153,O-21,68580,1,NA,50.6,2,NA,NA,NA,44,8,,2007,1.704150517,1.643452676,3.923951576,3.784189634,0.000221421,NS,Immature
3236,5357,-5409,200901,88,147,P-24,68580,1,NA,50.6,2,NA,NA,NA,44,8,,2009,1.704150517,1.643452676,3.923951576,3.784189634,0.000221421,NS,Immature
3237,2172,-6889,201001,162,200,Q-26,68580,1,NA,50.6,2,NA,NA,NA,50,9.1,,2010,1.704150517,1.698970004,3.923951576,3.912023005,3.28E-07,NS,Immature
3240,3527,-7169,201002,162,16,T-24,68580,1,NA,50.6,2,NA,NA,NA,56,11,EBS Northern Extension,2010,1.704150517,1.748188027,3.923951576,4.025351691,0.000203688,NS,Mature
3246,NA,-9226,201201,162,210,U-26,68580,1,NA,50.6,2,NA,NA,NA,46,NA,,2012,1.704150517,1.662757832,3.923951576,3.828641396,9.04E-05,NS,#VALUE!
3250,NA,-9613,201202,162,26,CH30-E02,68580,1,NA,50.6,2,NA,NA,NA,46,8.5,,2012,1.704150517,1.662757832,3.923951576,3.828641396,9.04E-05,NS,Immature
3251,NA,-9623,201202,162,36,CH30-I04,68580,1,NA,50.6,2,NA,NA,NA,46,8.2,,2012,1.704150517,1.662757832,3.923951576,3.828641396,9.04E-05,NS,Immature
3262,5346,-5406,200901,88,144,S-25,68580,1,NA,50.7,2,NA,NA,NA,46,8,,2009,1.705007959,1.662757832,3.925925911,3.828641396,0.000104269,NS,Immature
3266,3055,-6921,201001,162,232,R-25,68580,1,NA,50.7,2,NA,NA,NA,48,8.3,,2010,1.705007959,1.681241237,3.925925911,3.871201011,2.58E-05,NS,Immature
3267,3191,-6927,201001,162,238,T-27,68580,1,NA,50.7,2,NA,NA,NA,54,8.7,,2010,1.705007959,1.73239376,3.925925911,3.988984047,8.31E-05,NS,Immature
3269,3516,-7168,201002,162,15,U-24,68580,1,NA,50.7,2,NA,NA,NA,48,9.1,EBS Northern Extension,2010,1.705007959,1.681241237,3.925925911,3.871201011,2.58E-05,NS,Immature
3270,720,-7959,201101,89,122,K-21,68580,1,NA,50.7,2,NA,NA,NA,56,10.3,,2011,1.705007959,1.748188027,3.925925911,4.025351691,0.000182302,NS,Mature
3272,NA,-8993,201201,89,151,S-25,68580,1,NA,50.7,2,NA,NA,NA,48,NA,,2012,1.705007959,1.681241237,3.925925911,3.871201011,2.58E-05,NS,#VALUE!
3273,NA,-8996,201201,89,154,QP2625,68580,1,NA,50.7,2,NA,NA,NA,48,NA,,2012,1.705007959,1.681241237,3.925925911,3.871201011,2.58E-05,NS,#VALUE!
3277,NA,-14713,201501,94,161,QP2726,68580,1,NA,50.7,2,NA,NA,NA,52,8,,2015,1.705007959,1.716003344,3.925925911,3.951243719,2.09E-05,NS,Immature
3281,NA,-9722,201202,162,96,CH30-M04,68580,1,NA,50.7,2,NA,NA,NA,40,8.2,,2012,1.705007959,1.602059991,3.925925911,3.688879454,0.000732206,NS,Immature
3282,NA,-19441,201901,162,163,QP2524,68580,1,NA,50.7,2,NA,NA,NA,56,10,,2019,1.705007959,1.748188027,3.925925911,4.025351691,0.000182302,NS,Mature
3284,NA,-19302,201901,94,159,PO2423,68580,1,NA,50.7,2,NA,NA,NA,52,8.6,,2019,1.705007959,1.716003344,3.925925911,3.951243719,2.09E-05,NS,Immature
3292,3193,-6927,201001,162,238,T-27,68580,1,NA,50.8,2,NA,NA,NA,52,9.5,,2010,1.705863712,1.716003344,3.927896355,3.951243719,1.47E-05,NS,Immature
3294,3350,-7156,201002,162,3,W-26,68580,1,NA,50.8,2,NA,NA,NA,50,8.6,EBS Northern Extension,2010,1.705863712,1.698970004,3.927896355,3.912023005,7.86E-07,NS,Immature
3303,1721,-8178,201101,162,177,R-27,68580,1,NA,50.8,2,NA,NA,NA,48,8.8,,2011,1.705863712,1.681241237,3.927896355,3.871201011,3.36E-05,NS,Immature
3306,NA,-9601,201202,162,14,CH30-C04,68580,1,NA,50.8,2,NA,NA,NA,48,8.4,,2012,1.705863712,1.681241237,3.927896355,3.871201011,3.36E-05,NS,Immature
3313,NA,-17002,201701,94,183,R-22,68580,1,NA,50.8,2,NA,NA,NA,50,9.6,,2017,1.705863712,1.698970004,3.927896355,3.912023005,7.86E-07,NS,Mature
3318,1112,-11341,200601,134,89,M-19,68580,1,NA,50.9,2,NA,NA,NA,48,9.1,,2006,1.706717782,1.681241237,3.929862924,3.871201011,4.23E-05,NS,Immature
