SURVEY_YEAR,CRUISE,MALE_WEIGHTED_GEAR_TEMP,a_base,aT,aT_OS,a_OS,b,bmat,bOS,bmat_OS,a_NS,a_OS,bNS_immat,bOS_imm,bNS_mat,bOS_mat
2000,200001,0.33576427,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.411972631,-3.419662485,2.99049,3.01473,3.01858,3.02948
2001,200101,0.652144529,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.41144744,-3.419118311,2.99049,3.01473,3.01858,3.02948
2002,200201,1.270521737,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.410420934,-3.418054703,2.99049,3.01473,3.01858,3.02948
2003,200301,1.197786717,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.410541674,-3.418179807,2.99049,3.01473,3.01858,3.02948
2004,200401,0.948009006,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.410956305,-3.418609425,2.99049,3.01473,3.01858,3.02948
2005,200501,1.169657863,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.410588368,-3.418228188,2.99049,3.01473,3.01858,3.02948
2006,200601,-0.732824594,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.413746489,-3.421500458,2.99049,3.01473,3.01858,3.02948
2007,200701,-0.416535308,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.413221449,-3.420956441,2.99049,3.01473,3.01858,3.02948
2008,200801,-0.48575293,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.41333635,-3.421075495,2.99049,3.01473,3.01858,3.02948
2009,200901,-0.486539319,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.413337655,-3.421076848,2.99049,3.01473,3.01858,3.02948
2010,201001,-0.12429109,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.412736323,-3.420453781,2.99049,3.01473,3.01858,3.02948
2011,201101,0.885844606,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.411059498,-3.418716347,2.99049,3.01473,3.01858,3.02948
2012,201201,-0.401972352,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.413197274,-3.420931392,2.99049,3.01473,3.01858,3.02948
2013,201301,-0.202219246,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.412865684,-3.420587817,2.99049,3.01473,3.01858,3.02948
2014,201401,1.672583256,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.409753512,-3.417363157,2.99049,3.01473,3.01858,3.02948
2015,201501,-0.237342305,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.412923988,-3.420648229,2.99049,3.01473,3.01858,3.02948
2016,201601,0.189412073,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.412215576,-3.419914211,2.99049,3.01473,3.01858,3.02948
2017,201701,-0.16544028,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.412804631,-3.420524557,2.99049,3.01473,3.01858,3.02948
2018,201801,3.250773843,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.407133715,-3.414648669,2.99049,3.01473,3.01858,3.02948
2019,201901,2.535983091,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.408320268,-3.415878109,2.99049,3.01473,3.01858,3.02948
2021,202101,2.35189603,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.408625853,-3.416194739,2.99049,3.01473,3.01858,3.02948
2022,202201,-0.354045714,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.413117716,-3.420848959,2.99049,3.01473,3.01858,3.02948
2023,202301,-0.684024496,-3.41253,0.00166,0.00006,-0.00771,2.99049,0.02809,0.02424,-0.01334,-3.413665481,-3.421416522,2.99049,3.01473,3.01858,3.02948
