Size10mm,BBRKC_Standard,BBRKC_NS ,BBRKC_NS_BIAS_CORRECTED,BBRKC_OS,BBRKC_OS_BIAS_CORRECTED,BBRKC_NS_pct_dif,BBRKC_NS_BC_pct_dif,BBRKC_OS_pct_dif,BBRKC_OS_BC_pct_dif,EBSCB_Standard,EBSCB_MATFEM_Standard,EBSCB_NS,EBSCB_NS_BIAS_CORRECTED,EBSCB_NS_MATFEM_BIAS_CORRECTED,EBSCB_OS,EBSCB_OS_BIAS_CORRECTED,EBSCB_OS_MATFEM_BIAS_CORRECTED,EBSCB_NS_pct_dif,EBSCB_NS_BC_pct_dif,EBSCB_NS_MATFEM_BC_pct_dif,EBSCB_OS_pct_dif,EBSCB_OS_BC_pct_dif,EBSCB_OS_MATFEM_BC_pct_dif,EBSCO_Standard,EBSCO_MATFEM_Standard,EBSCO_NS,EBSCO_NS_BIAS_CORRECTED,EBSCO_MATFEM_NS_BIAS_CORRECTED,EBSCO_OS,EBSCO_OS_BIAS_CORRECTED,EBSCO_MATFEM_OS_BIAS_CORRECTED,EBSCO_NS_pct_dif,EBSCO_NS_BC_pct_dif,EBSCO_OS_pct_dif,EBSCO_OS_BC_pct_dif,EBSCO_MATFEM_NS_BC_pct_dif,EBSCO_MATFEM_OS_BC_pct_dif,SMBKC_Standard_Male,SMBKC_Standard_Female,SMBKC_NS_BIAS_CORRECTED,SMBKC_OS_BIAS_CORRECTED,SMBKC_MATURE_FEMALE_BIAS_CORRECTED,SMBKC_NS_BC_pct_dif,SMBKC_OS_BC_pct_dif,SMBKC_Matfem_pct_dif,BBRKC - Male - Standard,BBRKC - Male - NS - Warm,BBRKC - Male - NS - Cold,BBRKC_Warm_pct_dif,BBRKC_Cold_pct_dif,EBSCB_Male_Standard,EBSCB_Male_NS_Warm,EBSCB_Male_NS_Cold,EBSCB_Warm_pct_dif,EBSCB_Cold_pct_dif,EBSCO_Standard,EBSCO_NS_Warm,EBSCO_NS_Cold,EBSCO_Warm_pct_dif,EBSCO_Cold_pct_dif,BBRKC_Female_Standard,BBRKC_Female_w_clutch_NS_Cold,BBRKC_Female_w_clutch_NS_Warm,BBRKC_Female_w_clutch_NS_Cold_pct_dif,BBRKC_Female_w_clutch_NS_Warm_pct_dif,EBSCB_Female_Standard,EBSCB_Female_w_clutch_NS,EBSCB_Female_w_clutch_OS,EBSCB_Female_w_clutch_NS_pct_dif,EBSCB_Female_w_clutch_OS,EBSCB_Female_w_clutch_NS_Cold,EBSCB_Female_w_clutch_NS_Warm,EBSCB_Female_w_clutch_NS_Cold_pct_dif,EBSCB_Female_w_clutch_NS_Warm_pct_dif,EBSCO_Female_Standard,EBSCO_Female_w_clutch_NS,EBSCO_Female_w_clutch_OS,EBSCO_Female_w_clutch_NS_Cold,EBSCO_Female_w_clutch_NS _Warm ,EBSCO_Female_w_clutch_NS_pct_dif,EBSCO_Female_w_clutch_OS_pct_dif,EBSCO_Female_w_clutch_NS_Cold_pct_dif,EBSCO_Female_w_clutch_NS_Warm_pct_dif,EBSCO_AllMatfem_NS,EBSCO_AllMatfem_OS,EBSCO_AllMatfem_NS_pct_dif,EBSCO_AllMatfem_OS_pct_dif,EBSCO_Female_NS_CS4,EBSCO_Female_NS_CS5,EBSCO_Female_NS_CS6,EBSCO_Female_OS_CS4,EBSCO_Female_OS_CS5,EBSCO _Female_OS_CS6,EBSCO_Female_NS_CS4_pct_dif,EBSCO_Female_NS_CS5_pct_dif,EBSCO_Female_NS_CS6_pct_dif,EBSCO_Female_OS_CS4_pct_dif,EBSCO_Female_OS_CS5_pct_dif,EBSCO_Female_OS_CS6_pct_dif,EBSCB_Female_NS_CS4,EBSCB_Female_NS_CS5,EBSCB_Female_NS_CS6,EBSCB_Female_OS_CS4,EBSCB_Female_OS_CS5,EBSCB_Female_OS_CS6,EBSCB_AllMatfem_NS,EBSCB_AllMatfem_OS,EBSCB_Female_NS_CS4_pct_dif,EBSCB_Female_NS_CS5_pct_dif,EBSCB_Female_NS_CS6_pct_dif,EBSCB_Female_OS_CS4_pct_dif,EBSCB_Female_OS_CS5_pct_dif,EBSCB_Female_OS_CS6_pct_dif,EBSCB_AllMatfem_NS_pct_dif,EBSCB_AllMatfem_OS_pct_dif,SMBKC_Standard,SMBKC_NS,SMBKC_OS,SMBKC_NS_pct_dif,SMBKC_OS_pct_dif,NBS_CO_Male_All,NS_RKC_Male_NS,NS_RKC_Male_OS,NBS_BKC_Male_NS,NBS_BKC_Male_OS,NBS_CO_Male_All_pct_dif,NS_RKC_Male_NS_pct_dif,NS_RKC_Male_OS_pct_dif,NBS_BKC_Male_NS_pct_dif,NBS_BKC_Male_OS_pct_dif
110,1.042320538,1.039979559,1.040265575,1.079392325,1.077360175,-0.224593074,-0.19715272,3.434505296,3.361694961,0.398773239,0.364581801,0.389113371,0.38426574,0.352177772,0.426460383,0.430669618,0.367923054,-2.42239602,-3.638032324,-3.402262281,6.49231344,7.99862584,0.916461696,0.561333394,0.392119802,0.553109949,0.555051337,0.408348603,0.58196107,0.583061292,0.441403456,-1.464984105,-1.119131136,3.544511249,3.870765329,4.138735386,12.56851956,1.105689868,0.888958427,1.05604009,1.142647043,1.141400848,-4.490389186,3.342453991,28.39755084,1.042320538,1.075049178,1.027800413,3.139978406,-1.393057566,0.398773239,0.395712178,0.386420139,-0.767619254,-3.09777549,0.561333394,0.551091057,0.557257102,-1.824644138,-0.726180339,0.9953258,0.987379799,0.977210151,-0.798331653,-1.820072308,0.364581801,0.351407143,0.367923054,-3.613635886,0.916461696,0.347240468,0.358788334,-4.7565001,-1.589072012,0.392119802,0.408348603,0.441403456,0.411836372,0.404575675,4.138735321,12.56851931,5.028200513,3.176547769,0.408044597,0.441211695,4.061206279,12.51961564,0.403591856,0.406949901,0.436200658,0.457037587,0.43780563,0.441525963,2.925650072,3.782032612,11.24168064,16.55559954,11.65098699,12.59976159,0.36204397,0.351278471,0.35955972,0.369083623,0.366250582,0.370352223,0.352643331,0.367258823,-0.696093711,-3.648928852,-1.377490982,1.234790455,0.45772458,1.582750864,-3.274565543,0.734271991,1.105689868,1.05604009,1.142647043,-4.490389186,3.342453991,0.529997283,1.024691442,1.09415148,1.081727391,1.16992842,-5.582441992,-1.691331526,4.972648993,-2.167196979,5.809816462
120,1.369959684,1.367662329,1.368038941,1.414965864,1.412301937,-0.167695043,-0.140204352,3.180725529,3.090766328,0.518714156,0.469172079,0.505801923,0.499500394,0.452620611,0.558109787,0.56361862,0.470407912,-2.489277139,-3.704113693,-3.527803289,7.058760174,8.656880336,0.263407289,0.734956463,0.496341015,0.725593238,0.728140033,0.520958385,0.758953379,0.760388213,0.56641206,-1.273983626,-0.927460395,3.161843224,3.460306992,4.959769444,14.11752059,1.448933185,1.083082365,1.392252475,1.49564365,1.526580468,-3.911892617,3.223783226,40.94777256,1.369959684,1.407814873,1.352782167,2.763233861,-1.253870246,0.518714156,0.51483713,0.501974614,-0.747430099,-3.227122515,0.734956463,0.722062067,0.731477387,-1.754443458,-0.473371656,1.255198573,1.242030598,1.219190643,-1.04907509,-2.868703919,0.469172079,0.451630194,0.470407912,-3.738902188,0.263407289,0.445331055,0.462700757,-5.081509629,-1.379306769,0.496341015,0.520958385,0.56641206,0.525929123,0.515528479,4.95976943,14.11752058,5.961245934,3.865782572,0.520521762,0.566125498,4.871801018,14.05978575,0.514987237,0.518806468,0.560549243,0.588856658,0.561438135,0.566059996,3.756736192,4.526213387,12.93631326,18.63953217,13.1154021,14.04658881,0.472499243,0.452187022,0.459456964,0.471939061,0.468243416,0.473640189,0.453807705,0.469426507,0.709156476,-3.620218995,-2.07069337,0.589758388,-0.197936459,0.952339245,-3.274784364,0.054229168,1.448933185,1.392252475,1.49564365,-3.911892617,3.223783226,0.689956351,1.341673968,1.418539234,1.428558412,1.555892256,-6.122826851,-2.064711554,3.54605694,-1.406191338,7.381918761
130,1.761599478,1.759567908,1.760053002,1.815084235,1.811667013,-0.115325276,-0.087788168,2.94668185,2.842163376,0.660668869,0.591693216,0.643816783,0.635795594,0.570136969,0.714830195,0.72188617,0.589719256,-2.550761322,-3.764862603,-3.643145737,7.576809991,9.265958201,-0.333611953,0.941734869,0.616514811,0.931395059,0.934664209,0.65178416,0.96894759,0.970779427,0.712452404,-1.097953399,-0.750812218,2.808482262,3.084154517,5.720762644,15.56127952,1.858059922,1.298887286,1.795320046,1.915933603,1.994745206,-3.37663364,3.114737047,53.57338764,1.761599478,1.804192801,1.741769913,2.417877837,-1.125656835,0.660668869,0.655853556,0.638563168,-0.72885425,-3.345957772,0.941734869,0.925821238,0.939472429,-1.689820765,-0.24024173,1.553784748,1.533909091,1.494376439,-1.279176978,-3.823458123,0.591693216,0.568889405,0.589719256,-3.853992245,-0.333611953,0.55986302,0.58467605,-5.379509939,-1.185946634,0.616514811,0.65178416,0.712452404,0.658603553,0.644281912,5.720762588,15.5612795,6.826882538,4.503882244,0.651181751,0.712045106,5.623050643,15.49521496,0.644425584,0.64866917,0.706020506,0.743451828,0.705783005,0.711420806,4.527186085,5.215504723,14.51801205,20.58945138,14.47948893,15.39395219,0.603641959,0.570428939,0.575693392,0.591693312,0.586975607,0.593917226,0.572315348,0.588336571,2.019415263,-3.593800931,-2.704074243,1.64E-05,-0.797306528,0.375872164,-3.27498566,-0.567294777,1.858059922,1.795320046,1.915933603,-3.37663364,3.114737047,0.879418379,1.719198915,1.801250375,1.845036638,2.022474653,-6.617201134,-2.40693546,2.25084635,-0.700907666,8.848731365
140,2.223361151,2.221875636,2.222488842,2.285750409,2.281447073,-0.066813952,-0.039233801,2.729486887,2.612527535,0.826514104,0.73348271,0.804961491,0.794932395,0.705978478,0.898911291,0.907784571,0.727004623,-2.607652221,-3.821073202,-3.749813215,8.053874478,9.832919598,-0.883195612,1.18471192,0.753572705,1.173638477,1.177757889,0.802029316,1.21484209,1.217138801,0.881034034,-0.934694993,-0.586980785,2.480171665,2.73711105,6.430250284,16.91427093,2.339174453,1.536847224,2.271843577,2.409674335,2.555300309,-2.878403352,3.013878759,66.26898688,2.223361151,2.270033124,2.200976321,2.099162933,-1.006801345,0.826514104,0.820632195,0.797951001,-0.711652601,-3.455851932,1.18471192,1.165401689,1.184428652,-1.629951601,-0.023910312,1.893205101,1.864963385,1.804242379,-1.491740981,-4.699053581,0.73348271,0.704433667,0.727004623,-3.960426315,-0.883195612,0.692007336,0.726099582,-5.654580964,-1.006585138,0.753572705,0.802029316,0.881034034,0.81110527,0.791991082,6.430250309,16.91427088,7.634640233,5.098164687,0.801224092,0.880476723,6.323396158,16.84031511,0.793102196,0.797715039,0.874160757,0.922548988,0.872313889,0.879084783,5.245610795,5.857740607,16.00217885,22.42335504,15.75709729,16.65560306,0.757304163,0.707302253,0.709374302,0.729500511,0.72358783,0.732346414,0.709459889,0.725126189,3.247718396,-3.569335169,-3.286840557,-0.542916455,-1.349026927,-0.154917836,-3.27517203,-1.139293492,2.339174453,2.271843577,2.409674335,-2.878403352,3.013878759,1.100921999,2.162825273,2.247064783,2.338158788,2.578346731,-7.072598854,-2.722719066,1.066117013,-0.043419819,10.22464473
150,2.761432967,2.760835674,2.761598388,2.833019004,2.827685337,-0.021629814,0.005990397,2.526846343,2.399202546,1.018129791,0.895867655,0.991041567,0.978693811,0.8613856,1.112659047,1.123642572,0.883396089,-2.660586527,-3.873374573,-3.849012121,8.495797228,10.36339193,-1.392121422,1.466953818,0.908425527,1.45547545,1.460584094,0.972878741,1.499546844,1.502381802,1.073650964,-0.782462806,-0.434214341,2.173525044,2.415071524,7.095046549,18.18811032,2.89843177,1.79741025,2.82851426,2.983068025,3.217901956,-2.412253108,2.920070614,79.02991012,2.761432967,2.811230937,2.736689945,1.803338008,-0.896021112,1.018129791,1.011047318,0.981904238,-0.695635569,-3.558048635,1.466953818,1.443861295,1.469563691,-1.574181973,0.177911066,2.275526496,2.237087804,2.150212187,-1.689221919,-5.507046811,0.895867655,0.85950073,0.883396089,-4.059408156,-1.392121422,0.84292235,0.88834854,-5.909947142,-0.839310958,0.908425527,0.972878741,1.073650964,0.984661811,0.959792136,7.095046641,18.18811039,8.39213365,5.654465673,0.971829773,1.072910962,6.979575599,18.10665057,0.962194196,0.967102286,1.066502372,1.12786242,1.062488455,1.070511966,5.918885831,6.459171092,17.40118928,24.15573837,16.95933499,17.84256768,0.935326418,0.864095238,0.861589563,0.886499344,0.879205341,0.890075438,0.866524894,0.880916936,4.404530336,-3.546552509,-3.826245104,-1.045724913,-1.859907934,-0.64654828,-3.275345536,-1.668853508,2.89843177,2.82851426,2.983068025,-2.412253108,2.920070614,1.357011973,2.678154001,2.760756473,2.915028167,3.232366413,-7.494567576,-3.015788069,-0.02449794,0.572599189,11.52121801
160,3.382066072,3.382764659,3.383700061,3.462992985,3.456473279,0.020655618,0.048313343,2.336906639,2.200051842,1.237398838,1.080165558,1.203864374,1.188864672,1.037588522,1.358394655,1.371804293,1.060011571,-2.710077219,-3.922273438,-3.941713949,8.907265401,10.86193477,-1.865823948,1.791548171,1.081965317,1.780084997,1.786333004,1.165500404,1.825982615,1.829434714,1.291782939,-0.639847378,-0.291098316,1.88580348,2.114737597,7.720680662,19.39226874,3.542034233,2.081001612,3.47210833,3.642358679,3.992445276,-1.974173535,2.832396286,91.85209914,3.382066072,3.433723351,3.355270608,1.52738823,-0.792280905,1.237398838,1.228976479,1.192189861,-0.680650297,-3.653549334,1.791548171,1.764281089,1.798124428,-1.521984348,0.367071151,2.702766978,2.652128081,2.533663724,-1.873594606,-6.256671574,1.080165558,1.035318088,1.060011571,-4.151907135,-1.865823948,1.013754814,1.072792558,-6.148200506,-0.682580554,1.081965317,1.165500404,1.291782939,1.180484172,1.148803895,7.720680607,19.39226868,9.105546493,6.17751575,1.164162827,1.290824111,7.597055885,19.3036496,1.152862079,1.157971916,1.2845649,1.361095702,1.277749688,1.287147374,6.552590956,7.024864591,18.72514573,25.79845957,18.09525382,18.9638294,1.139557228,1.042087175,1.033414906,1.063814342,1.054939265,1.068237871,1.044784651,1.056816098,5.498385814,-3.525235881,-4.328100657,-1.513769474,-2.335409951,-1.104246249,-3.27550784,-2.161655669,3.542034233,3.47210833,3.642358679,-1.974173535,2.832396286,1.650238766,3.270825303,3.347094024,3.582848481,3.993568655,-7.887558259,-3.289136494,-1.034043893,1.152282725,12.74788419
170,4.091570871,4.094041892,4.09517497,4.181820778,4.173947749,0.060392967,0.088085956,2.158148591,2.013331323,1.486206939,1.287685044,1.445238996,1.42723151,1.235807916,1.638453602,1.654628293,1.257955924,-2.756543657,-3.968184191,-4.028712519,9.292094838,11.33229495,-2.308726071,2.161602702,1.275066937,2.150671605,2.158220352,1.381046702,2.197080272,2.201233947,1.536896505,-0.505694085,-0.156474162,1.614759853,1.833419458,8.31170207,20.53457434,4.276228728,2.388026311,4.209482361,4.393829591,4.889053715,-1.560869895,2.750106946,104.7319869,4.091570871,4.143486958,4.063145376,1.268854622,-0.694733046,1.486206939,1.476300304,1.430575653,-0.666571738,-3.743172311,2.161602702,2.129763872,2.173385275,-1.472927002,0.545085071,3.176900081,3.111885737,2.955933398,-2.046471156,-6.955418091,1.287685044,1.233103741,1.257955924,-4.238715336,-2.308726071,1.205640763,1.280794264,-6.371455581,-0.535129333,1.275066937,1.381046702,1.536896505,1.399768118,1.360129255,8.311702104,20.53457432,9.779971303,6.671204147,1.37937169,1.535679211,8.180335482,20.43910531,1.366251035,1.371449115,1.529856019,1.623942484,1.519527009,1.530422155,7.151318496,7.558989679,19.98240834,27.36135154,19.17233244,20.02680885,1.371852541,1.242549009,1.225913043,1.26255699,1.2518877,1.267954276,1.245504856,1.253917792,6.536341868,-3.505207696,-4.797135848,-1.951413068,-2.779976699,-1.532266645,-3.275660301,-2.622322282,4.276228728,4.209482361,4.393829591,-1.560869895,2.750106946,1.983158175,3.946516253,4.010840949,4.348918405,4.871156794,-8.255195391,-3.545206068,-1.973078916,1.699854757,13.91244725
180,4.896313824,4.901105983,4.902463547,4.995693727,4.986288437,0.097872795,0.125599043,1.989311366,1.837598975,1.766442402,1.519726464,1.716976132,1.69558245,1.457255603,1.955184854,1.974486744,1.478321906,-2.800333055,-4.011449928,-4.110664786,9.653432587,11.77758989,-2.724474388,2.5802441,1.488589442,2.570463811,2.579486008,1.620655632,2.61578019,2.620725435,1.810445949,-0.379045107,-0.029380618,1.358527386,1.568895555,8.871901565,21.62157664,5.107304172,2.718871251,5.047569092,5.243801105,5.918069516,-1.169600985,2.672582804,117.6664126,4.896313824,4.946535591,4.866804983,1.025705638,-0.602674634,1.766442402,1.754902299,1.698830146,-0.653296293,-3.827594744,2.5802441,2.543432992,2.598646664,-1.426652123,0.713210218,3.699858514,3.618121811,3.41831989,-2.209184546,-7.609442983,1.519726464,1.45406686,1.478321906,-4.320488277,-2.724474388,1.41970628,1.513709743,-6.581459642,-0.395908133,1.488589442,1.620655632,1.810445949,1.643695306,1.59485639,8.871901587,21.62157664,10.41965365,7.138768128,1.618590365,1.808926998,8.733161746,21.51953705,1.603492094,1.608644439,1.803872366,1.918087161,1.78923724,1.801754572,7.718894772,8.065017359,21.17997856,28.85266459,20.19682461,21.03771006,1.634075304,1.466743924,1.440134624,1.483826678,1.471136678,1.490333157,1.469943203,1.473303933,7.524304031,-3.486320812,-5.237247778,-2.362253124,-3.197271807,-1.934118242,-3.275804045,-3.054663591,5.107304172,5.047569092,5.243801105,-1.169600985,2.672582804,2.358331008,4.710938703,4.756756013,5.22062677,5.874494858,-8.600468933,-3.786013876,-2.850262785,2.218833945,15.02144106
190,5.802714595,5.810451853,5.812062555,5.910843844,5.899715619,0.133338591,0.161096322,1.82933692,1.671649056,2.079995997,1.777582434,2.020888,1.995707116,1.703135139,2.310950134,2.333764699,1.722191009,-2.841736124,-4.052357856,-4.188120574,9.993903942,12.20044183,-3.116110062,3.050617015,1.723377277,3.042712956,3.053392724,1.885451796,3.08503172,3.090864105,2.113874113,-0.25909706,0.09098844,1.115538125,1.319309822,9.40447116,22.65881309,6.04158929,3.073907044,5.993373713,6.198628627,7.090045146,-0.798061147,2.599305089,130.6525553,5.802714595,5.848918348,5.772800655,0.796243755,-0.515516305,2.079995997,2.06666869,1.99872258,-0.640737165,-3.907383369,3.050617015,3.008431257,3.0772337,-1.382859841,0.87250169,4.273537337,4.172560083,3.922087357,-2.362849446,-8.223865891,1.777582434,1.699408366,1.722191009,-4.397774577,-3.116110062,1.657068159,1.772888962,-6.779672918,-0.264036835,1.723377277,1.885451796,2.113874113,1.913434276,1.8540598,9.404471195,22.65881308,11.02817135,7.582931746,1.882939442,2.112006721,9.258690317,22.55045658,1.865703123,1.870654847,2.108100261,2.245205465,2.088285449,2.102550872,8.258542548,8.545869338,22.32378185,30.27939355,21.17401551,22.00177527,1.928095079,1.715927842,1.677119069,1.728711538,1.713760994,1.736471791,1.7193499,1.716045079,8.467266677,-3.468451951,-5.651685281,-2.749290002,-3.590350525,-2.312727796,-3.275940015,-3.461856626,6.04158929,5.993373713,6.198628627,-0.798061147,2.599305089,2.778322793,5.569837431,5.589593523,6.205448267,7.013100653,-8.925873708,-4.01324519,-3.672782263,2.712183328,16.08039404
200,6.8172435,6.828628053,6.830522403,6.933541782,6.920488144,0.166996424,0.194784047,1.677328633,1.514463205,2.428760824,2.062538308,2.358788256,2.329396554,1.974642317,2.708123272,2.73485944,1.990634196,-2.8809987,-4.091150903,-4.261544646,10.31572127,12.6030778,-3.486195232,3.575883148,1.980261319,3.570692058,3.583225005,2.1765473,3.60779271,3.614613398,2.448613114,-0.145169453,0.205315916,0.884462196,1.083096067,9.912125189,23.65100962,7.085450632,3.45348955,7.053970527,7.264700859,8.415735513,-0.444292197,2.529835241,143.6878813,6.8172435,6.85671781,6.787741265,0.579036225,-0.432759003,2.428760824,2.413488268,2.332022862,-0.628820918,-3.983017238,3.575883148,3.527919958,3.612494955,-1.341296346,1.023853567,4.899796735,4.776889874,4.468468201,-2.50840734,-8.802988305,2.062538308,1.970321437,1.990634196,-4.471037984,-3.486195232,1.918834497,2.059676127,-6.967328065,-0.138769831,1.980261319,2.1765473,2.448613114,2.210141312,2.138801228,9.912125155,23.65100958,11.60856852,8.006009441,2.173526987,2.446346867,9.759604227,23.53656779,2.153989693,2.158564618,2.444016344,2.606964992,2.418065691,2.434206047,8.773002417,9.004028763,23.41888011,31.6475238,22.10841403,22.92347595,2.255787698,1.991349864,1.937895313,1.998289174,1.980824938,2.007456954,1.994968129,1.983201173,9.369493376,-3.451496796,-6.043184472,-3.115051633,-3.961786772,-2.670561484,-3.276069008,-3.846577512,7.085450632,7.053970527,7.264700859,-0.444292197,2.529835241,3.245703527,6.528988474,6.514103574,7.310939583,8.296639527,-9.233512588,-4.228322282,-4.446664209,3.182422158,17.09402772
