"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log10.width","log10.weight","log.width","log.weight","Cooks_D","SC"
"182",3234,-3776,200701,89,174,"T-25",68580,1,NA,28.9,2,NA,NA,NA,9.5,4.4,"","2007",1.46089784275655,0.977723605288848,3.36384159511839,2.2512917986065,0.000244409398452165,"NS"
"185",498,-11660,200601,88,172,"W-22",68580,1,NA,29,2,NA,NA,NA,10,4.5,"","2006",1.46239799789896,1,3.36729582998647,2.30258509299405,0.000653321546257965,"NS"
"186",NA,-8995,201201,89,153,"Q-25",68580,1,NA,29,2,NA,NA,NA,10,NA,"","2012",1.46239799789896,1,3.36729582998647,2.30258509299405,0.000653321546257965,"NS"
"189",1507,-11432,200601,134,180,"X-24",68580,1,NA,29.1,2,NA,NA,NA,10,4,"","2006",1.46389298898591,1,3.37073817417745,2.30258509299405,0.00052381447671133,"NS"
"190",NA,-9605,201202,162,18,"CH30-D02",68580,1,NA,29.1,2,NA,NA,NA,10,4.5,"","2012",1.46389298898591,1,3.37073817417745,2.30258509299405,0.00052381447671133,"NS"
"193",NA,-8995,201201,89,153,"Q-25",68580,1,NA,29.2,2,NA,NA,NA,10,NA,"","2012",1.46538285144842,1,3.37416870927424,2.30258509299405,0.000409705508276769,"NS"
"198",NA,-10252,201301,89,169,"U-25",68580,1,NA,29.3,2,NA,NA,NA,10,4.3,"","2013",1.46686762035411,1,3.37758751602302,2.30258509299405,0.000310551058650454,"NS"
"201",2017,-8171,201101,162,170,"S-24",68580,1,NA,29.5,2,NA,NA,NA,10,4.7,"","2011",1.46982201597816,1,3.38439026334577,2.30258509299405,0.00015538165327678,"NS"
"202",NA,-8723,201201,162,167,"O-23",68580,1,NA,29.5,2,NA,NA,NA,10,NA,"","2012",1.46982201597816,1,3.38439026334577,2.30258509299405,0.00015538165327678,"NS"
"203",NA,-10202,201301,89,158,"O-25",68580,1,NA,29.5,2,NA,NA,NA,10,3.6,"","2013",1.46982201597816,1,3.38439026334577,2.30258509299405,0.00015538165327678,"NS"
"209",5427,-5668,200901,88,175,"U-29",68580,1,NA,29.7,2,NA,NA,NA,10,3.8,"","2009",1.47275644931721,1,3.39114704580865,2.30258509299405,5.49555700630462e-05,"NS"
"215",NA,-8591,201201,162,115,"P-19",68580,1,NA,29.9,2,NA,NA,NA,10,NA,"","2012",1.47567118832443,1,3.39785848039664,2.30258509299405,6.07323082567915e-06,"NS"
"219",5240,-6715,201001,89,102,"JI1918",68580,1,NA,30,2,NA,NA,NA,10,4.2,"","2010",1.47712125471966,1,3.40119738166216,2.30258509299405,7.87977460834582e-10,"NS"
"221",NA,-14571,201501,162,165,"QP2524",68580,1,NA,30,2,NA,NA,NA,10,4.4,"","2015",1.47712125471966,1,3.40119738166216,2.30258509299405,7.87977460834582e-10,"NS"
"229",3520,-7168,201002,162,15,"U-24",68580,1,NA,30.2,2,NA,NA,NA,9.6,4.1,"EBS Northern Extension","2010",1.48000694295715,0.982271233039568,3.40784192438082,2.26176309847379,0.000206513599787247,"NS"
"231",NA,-14716,201501,94,148,"N-27",68580,1,NA,30.2,2,NA,NA,NA,10,4.3,"","2015",1.48000694295715,1,3.40784192438082,2.30258509299405,2.27492652356411e-05,"NS"
"237",NA,-14502,201501,94,89,"M-19",68580,1,NA,30.3,2,NA,NA,NA,10,4.2,"","2015",1.48144262850231,1,3.41114771251532,2.30258509299405,5.085778341427e-05,"NS"
"249",NA,-17060,201701,94,215,"V-25",68580,1,NA,30.7,2,NA,NA,NA,10,4.1,"","2017",1.48713837547719,1,3.42426265459315,2.30258509299405,0.000266917957864295,"NS"
"250",NA,-8960,201201,89,108,"N-18",68580,1,NA,30.8,2,NA,NA,NA,10,4.3,"","2012",1.48855071650044,1,3.42751468997953,2.30258509299405,0.000345216361910466,"NS"
"251",NA,-9624,201202,162,37,"CH30-I04",68580,1,NA,30.8,2,NA,NA,NA,12,4.9,"","2012",1.48855071650044,1.07918124604762,3.42751468997953,2.484906649788,0.000548051348230473,"NS"
"252",NA,-14498,201501,94,85,"Q-19",68580,1,NA,30.8,2,NA,NA,NA,12,3.9,"","2015",1.48855071650044,1.07918124604762,3.42751468997953,2.484906649788,0.000548051348230473,"NS"
"253",NA,-14499,201501,94,86,"P-19",68580,1,NA,30.9,2,NA,NA,NA,12,4.2,"","2015",1.48995847942483,1.07918124604762,3.4307561839037,2.484906649788,0.000442895596555981,"NS"
"254",NA,-14716,201501,94,148,"N-27",68580,1,NA,30.9,2,NA,NA,NA,10,4.2,"","2015",1.48995847942483,1,3.4307561839037,2.30258509299405,0.000432604865373424,"NS"
"255",NA,-19431,201901,162,176,"M-31",68580,1,NA,30.9,2,NA,NA,NA,10,3.9,"","2019",1.48995847942483,1,3.4307561839037,2.30258509299405,0.000432604865373424,"NS"
"256",NA,-10145,201301,89,119,"L-19",68580,1,NA,31,2,NA,NA,NA,12,5.2,"","2013",1.49136169383427,1.07918124604762,3.43398720448515,2.484906649788,0.000349811632299664,"NS"
"257",NA,-10151,201301,89,125,"P-21",68580,1,NA,31,2,NA,NA,NA,10,4.4,"","2013",1.49136169383427,1,3.43398720448515,2.30258509299405,0.000528784406355321,"NS"
"258",NA,-8997,201201,89,155,"Q-26",68580,1,NA,31,2,NA,NA,NA,12,NA,"","2012",1.49136169383427,1.07918124604762,3.43398720448515,2.484906649788,0.000349811632299664,"NS"
