"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log.width","log.weight","Cooks_D","SC"
"3617",NA,-19246,201901,162,70,"B-02",68560,2,NA,69.8,2,4,1,5,88,NA,NA,"2019",4.24563400976833,4.47733681447821,0.00234314934781946,"NS"
"3620",NA,-16839,201701,94,109,"B-01",68560,2,NA,69.8,2,4,1,5,90,NA,NA,"2017",4.24563400976833,4.49980967033027,0.00114754701251175,"NS"
"3623",2252,-3451,200701,88,109,"D-18",68560,2,NA,69.9,2,4,1,4,96,NA,NA,"2007",4.24706564923976,4.56434819146784,2.66923973534464e-05,"NS"
"3624",2269,-3470,200701,88,128,"E-22",68560,2,NA,69.9,2,4,1,6,98,NA,NA,"2007",4.24706564923976,4.58496747867057,0.000339552862158627,"NS"
"3627",4672,-6415,201001,89,56,"A-04",68560,2,NA,69.9,2,4,1,6,92,NA,NA,"2010",4.24706564923976,4.52178857704904,0.00049302162018723,"NS"
"3634",1471,1063350,200101,89,85,"C-01",68560,2,NA,70,2,4,1,5,90,NA,NA,"2001",4.24849524204936,4.49980967033027,0.00150320647857535,"NS"
"3636",1477,1063350,200101,89,85,"C-01",68560,2,NA,70,2,4,1,2,92,NA,NA,"2001",4.24849524204936,4.52178857704904,0.000610697917496334,"NS"
"3637",1478,1063350,200101,89,85,"C-01",68560,2,NA,70,2,4,1,4,92,NA,NA,"2001",4.24849524204936,4.52178857704904,0.000610697917496334,"NS"
"3638",1479,1063350,200101,89,85,"C-01",68560,2,NA,70,2,4,1,5,92,NA,NA,"2001",4.24849524204936,4.52178857704904,0.000610697917496334,"NS"
"3639",1482,1063350,200101,89,85,"C-01",68560,2,NA,70,2,4,1,5,94,NA,NA,"2001",4.24849524204936,4.54329478227,0.000120028779596608,"NS"
"3640",1484,1063350,200101,89,85,"C-01",68560,2,NA,70,2,4,1,5,94,NA,NA,"2001",4.24849524204936,4.54329478227,0.000120028779596608,"NS"
"3644",2223,-3450,200701,88,108,"E-18",68560,2,NA,70,2,4,1,4,92,NA,NA,"2007",4.24849524204936,4.52178857704904,0.000610697917496334,"NS"
"3652",NA,-17014,201701,162,151,"L-29",68560,2,NA,70,2,4,1,6,108,NA,NA,"2017",4.24849524204936,4.68213122712422,0.00606086770597942,"NS"
"3658",NA,-15394,201601,162,91,"I-01",68560,2,NA,70.1,2,4,1,5,100,NA,NA,"2016",4.24992279404054,4.60517018598809,0.000668715328408921,"NS"
"3678",809,-6212,201001,162,93,"E-18",68560,2,NA,70.4,2,4,1,6,100,NA,NA,"2010",4.254193263164,4.60517018598809,0.000315526726229056,"NS"
"3680",877,-6216,201001,162,97,"D-18",68560,2,NA,70.4,2,4,1,5,94,NA,NA,"2010",4.254193263164,4.54329478227,0.000439801826982755,"NS"
