,CO_ImFem_EBS_Baseline,CO_MatFem_EBS_Baseline,CO_Males_EBS_Baseline,CB_ImFem_EBS_Baseline,CB_MatFem_EBS_Baseline,CB_Males_EBS_Baseline,RK_ImFem_EBS_Baseline,RK_MatFem_EBS_Baseline,RK_Males_EBS_Baseline,BK_Males_STMATT_Baseline
Alpha,-2.98012418,-2.936305476,-3.574249875,-3.250638057,-3.355809834,-3.567876004,-3.389627071,-2.444561632,-3.395013636,-3.299062691
Beta,2.70836679,2.708793205,3.097253209,2.816928495,2.898686491,3.022134296,3.127955756,2.66607563,3.141333669,3.107157751
StdErr_Beta,0.025511306,0.024661412,0.012652142,0.022843085,0.032777512,0.008641755,0.041022247,0.023995967,0.012723321,0.043730922
