"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log.width","log.weight","Cooks_D","SC"
"203",NA,-10202,201301,89,158,"O-25",68580,1,NA,29.5,2,NA,NA,NA,10,3.6,"","2013",3.38439026334577,2.30258509299405,0.000155381653276641,"NS"
"209",5427,-5668,200901,88,175,"U-29",68580,1,NA,29.7,2,NA,NA,NA,10,3.8,"","2009",3.39114704580865,2.30258509299405,5.49555700629713e-05,"NS"
"215",NA,-8591,201201,162,115,"P-19",68580,1,NA,29.9,2,NA,NA,NA,10,NA,"","2012",3.39785848039664,2.30258509299405,6.07323082565775e-06,"NS"
"219",5240,-6715,201001,89,102,"JI1918",68580,1,NA,30,2,NA,NA,NA,10,4.2,"","2010",3.40119738166216,2.30258509299405,7.87977460601913e-10,"NS"
"221",NA,-14571,201501,162,165,"QP2524",68580,1,NA,30,2,NA,NA,NA,10,4.4,"","2015",3.40119738166216,2.30258509299405,7.87977460601913e-10,"NS"
"229",3520,-7168,201002,162,15,"U-24",68580,1,NA,30.2,2,NA,NA,NA,9.6,4.1,"EBS Northern Extension","2010",3.40784192438082,2.26176309847379,0.000206513599787315,"NS"
"231",NA,-14716,201501,94,148,"N-27",68580,1,NA,30.2,2,NA,NA,NA,10,4.3,"","2015",3.40784192438082,2.30258509299405,2.27492652356737e-05,"NS"
"237",NA,-14502,201501,94,89,"M-19",68580,1,NA,30.3,2,NA,NA,NA,10,4.2,"","2015",3.41114771251532,2.30258509299405,5.08577834143108e-05,"NS"
"249",NA,-17060,201701,94,215,"V-25",68580,1,NA,30.7,2,NA,NA,NA,10,4.1,"","2017",3.42426265459315,2.30258509299405,0.000266917957864354,"NS"
"250",NA,-8960,201201,89,108,"N-18",68580,1,NA,30.8,2,NA,NA,NA,10,4.3,"","2012",3.42751468997953,2.30258509299405,0.000345216361910533,"NS"
"251",NA,-9624,201202,162,37,"CH30-I04",68580,1,NA,30.8,2,NA,NA,NA,12,4.9,"","2012",3.42751468997953,2.484906649788,0.000548051348230168,"NS"
"252",NA,-14498,201501,94,85,"Q-19",68580,1,NA,30.8,2,NA,NA,NA,12,3.9,"","2015",3.42751468997953,2.484906649788,0.000548051348230168,"NS"
"253",NA,-14499,201501,94,86,"P-19",68580,1,NA,30.9,2,NA,NA,NA,12,4.2,"","2015",3.4307561839037,2.484906649788,0.000442895596555733,"NS"
"254",NA,-14716,201501,94,148,"N-27",68580,1,NA,30.9,2,NA,NA,NA,10,4.2,"","2015",3.4307561839037,2.30258509299405,0.000432604865373474,"NS"
"255",NA,-19431,201901,162,176,"M-31",68580,1,NA,30.9,2,NA,NA,NA,10,3.9,"","2019",3.4307561839037,2.30258509299405,0.000432604865373474,"NS"
"256",NA,-10145,201301,89,119,"L-19",68580,1,NA,31,2,NA,NA,NA,12,5.2,"","2013",3.43398720448515,2.484906649788,0.000349811632299444,"NS"
"257",NA,-10151,201301,89,125,"P-21",68580,1,NA,31,2,NA,NA,NA,10,4.4,"","2013",3.43398720448515,2.30258509299405,0.000528784406355376,"NS"
"258",NA,-8997,201201,89,155,"Q-26",68580,1,NA,31,2,NA,NA,NA,12,NA,"","2012",3.43398720448515,2.484906649788,0.000349811632299444,"NS"
"261",NA,-14737,201501,94,183,"M-30",68580,1,NA,31,2,NA,NA,NA,12,4.2,"","2015",3.43398720448515,2.484906649788,0.000349811632299444,"NS"
"267",NA,-14571,201501,162,165,"QP2524",68580,1,NA,31.1,2,NA,NA,NA,12,4.5,"","2015",3.43720781918519,2.484906649788,0.000268460939078771,"NS"
"269",NA,-17053,201701,94,198,"N-29",68580,1,NA,31.1,2,NA,NA,NA,10,4.5,"","2017",3.43720781918519,2.30258509299405,0.000633462852006904,"NS"
"271",3215,-3775,200701,89,173,"S-25",68580,1,NA,31.2,2,NA,NA,NA,12,4.6,"","2007",3.44041809481544,2.484906649788,0.000198512443949329,"NS"
"272",NA,-8995,201201,89,153,"Q-25",68580,1,NA,31.2,2,NA,NA,NA,12,NA,"","2012",3.44041809481544,2.484906649788,0.000198512443949329,"NS"
"275",NA,-10253,201301,89,170,"V-25",68580,1,NA,31.3,2,NA,NA,NA,12,4.9,"","2013",3.44361809754611,2.484906649788,0.0001396423599775,"NS"
"277",489,-11659,200601,88,171,"V-22",68580,1,NA,31.4,2,NA,NA,NA,12,4.5,"","2006",3.44680789291421,2.484906649788,9.15340323670625e-05,"NS"
"283",NA,-8617,201201,162,150,"Q-22",68580,1,NA,31.5,2,NA,NA,NA,12,NA,"","2012",3.44998754583159,2.484906649788,5.38777880519852e-05,"NS"
"290",NA,-8959,201201,89,107,"M-18",68580,1,NA,31.8,2,NA,NA,NA,12,4.8,"","2012",3.45946628978613,2.484906649788,6.26485612141295e-07,"NS"
"297",681,-7945,201101,89,108,"J-19",68580,1,NA,32,2,NA,NA,NA,12,3.9,"","2011",3.46573590279973,2.484906649788,1.20097284307298e-05,"NS"
"299",NA,-10203,201301,89,159,"PO2524",68580,1,NA,32,2,NA,NA,NA,12,3.9,"","2013",3.46573590279973,2.484906649788,1.20097284307298e-05,"NS"
"301",NA,-9617,201202,162,30,"CH30-F02",68580,1,NA,32,2,NA,NA,NA,12,4.7,"","2012",3.46573590279973,2.484906649788,1.20097284307298e-05,"NS"
"303",NA,-14716,201501,94,148,"N-27",68580,1,NA,32,2,NA,NA,NA,12,4.8,"","2015",3.46573590279973,2.484906649788,1.20097284307298e-05,"NS"
"304",NA,-8994,201201,89,152,"R-25",68580,1,NA,32.1,2,NA,NA,NA,14,NA,"","2012",3.46885603013597,2.63905732961526,0.000804882073613549,"NS"
"313",NA,-10253,201301,89,170,"V-25",68580,1,NA,32.3,2,NA,NA,NA,14,4.8,"","2013",3.47506723022861,2.63905732961526,0.000576290648273813,"NS"
"314",NA,-16981,201701,162,132,"P-25",68580,1,NA,32.3,2,NA,NA,NA,12,3.4,"","2017",3.47506723022861,2.484906649788,9.39325737478458e-05,"NS"
"315",NA,-8960,201201,89,108,"N-18",68580,1,NA,32.4,2,NA,NA,NA,14,4.7,"","2012",3.47815842279828,2.63905732961526,0.000477671469316679,"NS"
"316",NA,-8584,201201,162,120,"L-18",68580,1,NA,32.4,2,NA,NA,NA,12,NA,"","2012",3.47815842279828,2.484906649788,0.000137491536754491,"NS"
"319",NA,-8965,201201,89,113,"O-20",68580,1,NA,32.5,2,NA,NA,NA,14,5.2,"","2012",3.48124008933569,2.63905732961526,0.000389127175405746,"NS"
"321",NA,-10254,201301,89,171,"V-26",68580,1,NA,32.5,2,NA,NA,NA,14,5.4,"","2013",3.48124008933569,2.63905732961526,0.000389127175405746,"NS"
"323",NA,-9611,201202,162,24,"CH30-E01",68580,1,NA,32.6,2,NA,NA,NA,14,5.3,"","2012",3.48431228837266,2.63905732961526,0.000310383182988558,"NS"
"337",NA,-17059,201701,94,214,"U-25",68580,1,NA,32.8,2,NA,NA,NA,14,32.8,"","2017",3.4904285153901,2.63905732961526,0.000181226991579485,"NS"
"339",3518,-7168,201002,162,15,"U-24",68580,1,NA,32.9,2,NA,NA,NA,14,5.6,"EBS Northern Extension","2010",3.49347265777133,2.63905732961526,0.000130294492805802,"NS"
"340",NA,-10252,201301,89,169,"U-25",68580,1,NA,32.9,2,NA,NA,NA,14,4.8,"","2013",3.49347265777133,2.63905732961526,0.000130294492805802,"NS"
"345",1560,1063300,200101,89,138,"U-21",68580,1,NA,33,2,NA,NA,NA,14,NA,"","2001",3.49650756146648,2.63905732961526,8.81214647167574e-05,"NS"
"348",1716,-8177,201101,162,176,"S-26",68580,1,NA,33,2,NA,NA,NA,14,4.8,"","2011",3.49650756146648,2.63905732961526,8.81214647167574e-05,"NS"
"350",NA,-14559,201501,94,126,"K-21",68580,1,NA,33,2,NA,NA,NA,12,4.6,"","2015",3.49650756146648,2.484906649788,0.000552446443924389,"NS"
"351",NA,-14754,201501,162,208,"N-31",68580,1,NA,33,2,NA,NA,NA,12,4.7,"","2015",3.49650756146648,2.484906649788,0.000552446443924389,"NS"
"354",440,-6168,201001,162,49,"H-05",68580,1,NA,33.1,2,NA,NA,NA,12,NA,"","2010",3.49953328238302,2.484906649788,0.000645071461257682,"NS"
"356",NA,-8995,201201,89,153,"Q-25",68580,1,NA,33.1,2,NA,NA,NA,14,NA,"","2012",3.49953328238302,2.63905732961526,5.44614972254946e-05,"NS"
"358",NA,-9624,201202,162,37,"CH30-I04",68580,1,NA,33.1,2,NA,NA,NA,12,5.2,"","2012",3.49953328238302,2.484906649788,0.000645071461257682,"NS"
"362",NA,-8994,201201,89,152,"R-25",68580,1,NA,33.2,2,NA,NA,NA,14,NA,"","2012",3.50254987592244,2.63905732961526,2.90734766723227e-05,"NS"
"368",NA,-10254,201301,89,171,"V-26",68580,1,NA,33.3,2,NA,NA,NA,14,4.6,"","2013",3.5055573969864,2.63905732961526,1.17214786897807e-05,"NS"
"380",NA,-10203,201301,89,159,"PO2524",68580,1,NA,33.6,2,NA,NA,NA,16,5.6,"","2013",3.51452606696916,2.77258872223978,0.000652397043244162,"NS"
"385",287,-11590,200601,88,102,"P-20",68580,1,NA,33.7,2,NA,NA,NA,16,5.2,"","2006",3.51749783735832,2.77258872223978,0.000554792605201259,"NS"
"389",NA,-10254,201301,89,171,"V-26",68580,1,NA,33.9,2,NA,NA,NA,14,5.2,"","2013",3.5234150143864,2.63905732961526,6.37820962294773e-05,"NS"
"391",NA,-9603,201202,162,16,"CH30-D03",68580,1,NA,33.9,2,NA,NA,NA,14,5.1,"","2012",3.5234150143864,2.63905732961526,6.37820962294773e-05,"NS"
"393",1561,1063300,200101,89,138,"U-21",68580,1,NA,34,2,NA,NA,NA,14,NA,"","2001",3.52636052461616,2.63905732961526,9.64908125033049e-05,"NS"
"394",5256,-6716,201001,89,103,"I-19",68580,1,NA,34,2,NA,NA,NA,14,5.3,"","2010",3.52636052461616,2.63905732961526,9.64908125033049e-05,"NS"
"397",NA,-14502,201501,94,89,"M-19",68580,1,NA,34,2,NA,NA,NA,16,5.3,"","2015",3.52636052461616,2.77258872223978,0.000313409553801621,"NS"
"399",NA,-8994,201201,89,152,"R-25",68580,1,NA,34.1,2,NA,NA,NA,16,NA,"","2012",3.52929738428947,2.77258872223978,0.000249337076799041,"NS"
"404",NA,-14587,201501,162,181,"V-25",68580,1,NA,34.1,2,NA,NA,NA,16,5,"","2015",3.52929738428947,2.77258872223978,0.000249337076799041,"NS"
"406",NA,-17005,201701,94,186,"T-25",68580,1,NA,34.1,2,NA,NA,NA,15,5.1,"","2017",3.52929738428947,2.70805020110221,6.41116626267045e-06,"NS"
"407",NA,-17053,201701,94,198,"N-29",68580,1,NA,34.1,2,NA,NA,NA,15,5,"","2017",3.52929738428947,2.70805020110221,6.41116626267045e-06,"NS"
"408",NA,-10254,201301,89,171,"V-26",68580,1,NA,34.2,2,NA,NA,NA,16,5.4,"","2013",3.53222564406856,2.77258872223978,0.0001930932095342,"NS"
"412",NA,-9612,201202,162,25,"CH30-E01",68580,1,NA,34.3,2,NA,NA,NA,14,5.1,"","2012",3.53514535417189,2.63905732961526,0.00023178639317993,"NS"
"419",NA,-9612,201202,162,25,"CH30-E01",68580,1,NA,34.4,2,NA,NA,NA,16,5,"","2012",3.53805656437935,2.77258872223978,0.000103245670963385,"NS"
"424",NA,-14579,201501,162,173,"R-22",68580,1,NA,34.5,2,NA,NA,NA,14,5.3,"","2015",3.54095932403731,2.63905732961526,0.000351073613928425,"NS"
"425",NA,-9605,201202,162,18,"CH30-D02",68580,1,NA,34.5,2,NA,NA,NA,14,5,"","2012",3.54095932403731,2.63905732961526,0.000351073613928425,"NS"
"434",NA,-10254,201301,89,171,"V-26",68580,1,NA,34.7,2,NA,NA,NA,18,4.9,"","2013",3.54673968695281,2.89037175789616,0.000806307445588058,"NS"
"436",NA,-9607,201202,162,20,"CH30-C01",68580,1,NA,34.7,2,NA,NA,NA,14,4.2,"","2012",3.54673968695281,2.63905732961526,0.000491950500168411,"NS"
"440",1521,-11434,200601,134,182,"Y-25",68580,1,NA,34.8,2,NA,NA,NA,16,5,"","2006",3.54961738678043,2.77258872223978,8.43666489619204e-06,"NS"
"445",NA,-17059,201701,94,214,"U-25",68580,1,NA,34.9,2,NA,NA,NA,18,5.4,"","2017",3.55248682920838,2.89037175789616,0.000608864198257784,"NS"
