"","ACCESS_ID","HAULJOIN","CRUISE","VESSEL","HAUL","GIS_STATION","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","CHELA_HEIGHT","COMMENTS","YEAR","log10.width","log10.weight","log.width","log.weight","Cooks_D","SC"
"3470",4602,-5228,200901,89,110,"E-19",68560,2,NA,67.8,2,4,1,5,84,NA,NA,"2009",1.83122969386706,1.92427928606188,4.21656219494635,4.43081679884331,0.000505952051348852,"NS"
"3493",NA,-17682,201801,162,76,"A-02",68560,2,NA,68,2,0,0,1,86,NA,NA,"2018",1.83250891270624,1.93449845124357,4.21950770517611,4.45434729625351,0.000143681726648127,"NS"
"3501",NA,-17680,201801,162,74,"B-01",68560,2,NA,68.1,2,4,1,6,94,NA,NA,"2018",1.83314711191279,1.9731278535997,4.22097721315547,4.54329478227,0.00208690961520639,"NS"
"3526",NA,-12140,201401,94,154,"O-25",68560,2,NA,68.5,2,0,0,1,80,NA,NA,"2014",1.83569057149243,1.90308998699194,4.22683374526818,4.38202663467388,0.00546319693264437,"NS"
"3549",NA,-17981,201801,94,164,"I-25",68560,2,NA,68.8,2,4,1,5,82,NA,NA,"2018",1.83758843823551,1.91381385238372,4.2312037449393,4.40671924726425,0.00420330030209927,"NS"
"3556",NA,-11965,201401,162,101,"J-19",68560,2,NA,68.9,2,4,1,5,94,NA,NA,"2014",1.83821922190763,1.9731278535997,4.23265617801961,4.54329478227,0.000474345742923192,"NS"
"3562",1472,1063350,200101,89,85,"C-01",68560,2,NA,69,2,4,1,5,90,NA,NA,"2001",1.83884909073726,1.95424250943932,4.23410650459726,4.49980967033027,8.53702844881469e-05,"NS"
"3577",NA,-15602,201601,162,134,"J-22",68560,2,NA,69.1,2,4,1,4,88,NA,NA,"2016",1.8394780473742,1.94448267215017,4.23555473077362,4.47733681447821,0.000695737894242017,"NS"
"3584",1283,-6562,201001,162,118,"K-27",68560,2,NA,69.3,2,4,1,3,80,NA,NA,"2010",1.84073323461181,1.90308998699194,4.23844490619586,4.38202663467388,0.00850346947640558,"NS"
"3585",NA,-19245,201901,162,69,"A-02",68560,2,NA,69.3,2,4,1,5,98,NA,NA,"2019",1.84073323461181,1.99122607569249,4.23844490619586,4.58496747867057,0.00138593232966978,"NS"
"3588",2241,-3451,200701,88,109,"D-18",68560,2,NA,69.4,2,4,1,4,88,NA,NA,"2007",1.84135947045486,1.94448267215017,4.23988686751276,4.47733681447821,0.00114904137404251,"NS"
"3590",NA,-11964,201401,162,100,"JI2019",68560,2,NA,69.4,2,4,1,4,94,NA,NA,"2014",1.84135947045486,1.9731278535997,4.23988686751276,4.54329478227,6.31608749739942e-05,"NS"
"3594",NA,-17681,201801,162,75,"B-02",68560,2,NA,69.5,2,4,1,4,92,NA,NA,"2018",1.84198480459011,1.96378782734556,4.24132675257075,4.52178857704904,6.87500253184858e-05,"NS"
"3610",NA,-19246,201901,162,70,"B-02",68560,2,NA,69.7,2,4,1,2,102,NA,NA,"2019",1.84323277809801,2.00860017176192,4.24420031776648,4.62497281328427,0.00260390899473319,"NS"
"3617",NA,-19246,201901,162,70,"B-02",68560,2,NA,69.8,2,4,1,5,88,NA,NA,"2019",1.84385542262316,1.94448267215017,4.24563400976833,4.47733681447821,0.00189126385898934,"NS"
"3620",NA,-16839,201701,94,109,"B-01",68560,2,NA,69.8,2,4,1,5,90,NA,NA,"2017",1.84385542262316,1.95424250943932,4.24563400976833,4.49980967033027,0.000872296291357961,"NS"
"3623",2252,-3451,200701,88,109,"D-18",68560,2,NA,69.9,2,4,1,4,96,NA,NA,"2007",1.84447717574568,1.98227123303957,4.24706564923976,4.56434819146784,6.28460098670464e-05,"NS"
