"CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION"
3162003,-17423,201702,162,69,"BB-19",3,69323,2,91.1,,3,0,4,1,702,,,,,1,,,"","BB-19"
3162004,-17423,201702,162,69,"BB-19",3,69323,2,99.1,,2,2,1,5,766,,,,,1,,,"","BB-19"
3163694,-17429,201702,162,74,"AA-02",3,69323,2,95.2,,2,2,1,6,632,,,,,1,,,"","AA-02"
3166406,-17449,201702,94,44,"DD-03",3,69323,2,122.1,,3,5,1,6,1350,,,,,1,,,"","DD-03"
3220020,-18206,201802,162,217,"NBS-32",,69323,2,101.9,,2,5,1,6,916,,,,,1,,,"","NBS-32"
3219480,-18191,201802,162,209,"NBS-15",,69323,2,83.9,,3,0,0,1,482,,,,,1,,,"","NBS-15"
3219481,-18191,201802,162,209,"NBS-15",,69323,2,99.4,,3,0,4,1,846,,,,,1,,,"","NBS-15"
3219483,-18191,201802,162,209,"NBS-15",,69323,2,96.6,,2,5,1,5,668,,,,,1,,,"","NBS-15"
3219484,-18191,201802,162,209,"NBS-15",,69323,2,93.8,,3,0,4,1,700,,,,,1,,,"","NBS-15"
3219485,-18191,201802,162,209,"NBS-15",,69323,2,92.4,,2,0,0,1,698,,,,,1,,,"","NBS-15"
3219486,-18191,201802,162,209,"NBS-15",,69323,2,85.7,,2,0,0,1,582,,,,,1,,,"","NBS-15"
3219482,-18191,201802,162,209,"NBS-15",,69323,2,83.6,,2,5,1,5,474,,,,,1,,,"","NBS-15"
3348331,-19769,201902,162,36,"CC-20",3,69323,2,94.5,,2,0,0,1,645,,,,,1,,,"","CC-20"
3349883,-19771,201902,162,38,"BB-20",3,69323,2,101.9,,3,0,0,1,805,,,,,1,,,"","BB-20"
3349884,-19771,201902,162,38,"BB-20",3,69323,2,83.5,,2,0,0,1,400,,,,,1,,,"","BB-20"
3349885,-19771,201902,162,38,"BB-20",3,69323,2,76.9,,2,0,0,1,355,,,,,1,,,"","BB-20"
3349886,-19771,201902,162,38,"BB-20",3,69323,2,72.5,,2,0,0,1,280,,,,,1,,,"","BB-20"
3349887,-19771,201902,162,38,"BB-20",3,69323,2,67.3,,2,0,0,1,240,,,,,1,,,"","BB-20"
3349888,-19771,201902,162,38,"BB-20",3,69323,2,78.4,,2,0,0,1,345,,,,,1,,,"","BB-20"
3349889,-19771,201902,162,38,"BB-20",3,69323,2,73.2,,2,0,0,1,290,,,,,1,,,"","BB-20"
3347046,-19757,201902,162,30,"BB-19",3,69323,2,96.6,,2,3,1,5,755,,,,,1,,,"","BB-19"
3346162,-19730,201902,162,19,"EE-19",3,69323,2,93.6,,3,0,0,1,725,,,,,1,,,"","EE-19"
3344256,-19582,201902,162,17,"FF-01",3,69323,2,99.1,,3,0,0,1,910,,,,,1,,,"","FF-01"
3344257,-19582,201902,162,17,"FF-01",3,69323,2,102.5,,3,0,0,1,930,,,,,1,,,"","FF-01"
3349000,-19770,201902,162,37,"CC-21",3,69323,2,96.1,,3,0,0,1,810,,,,,1,,,"","CC-21"
3344560,-19733,201902,162,22,"DD-01",3,69323,2,91.5,,2,3,1,5,695,,,,,1,,,"","DD-01"
3344561,-19733,201902,162,22,"DD-01",3,69323,2,95.1,,2,3,1,6,685,,,,,1,,,"","DD-01"
3349677,-19778,201902,162,40,"BB-21",3,69323,2,72.9,,2,0,0,0,295,,,,,1,,,"","BB-21"
3345429,-19579,201902,162,14,"DD-02",3,69323,2,103.3,,2,5,1,5,756,,,,,1,,,"","DD-02"
1983088,-7106,201002,94,34,"",3,69323,2,83,,3,0,0,0,450,,,,,1,,,"","BB-01"
1983610,-7109,201002,94,37,"",3,69323,2,90,,2,5,1,6,588,,,,,1,,,"","DD-20"
1979624,-7096,201002,94,24,"",3,69323,2,89,,2,5,1,6,362,,,,,1,,,"","BB-20"
1979625,-7096,201002,94,24,"",3,69323,2,93,,3,0,4,1,664,,,,,1,,,"","BB-20"
1979626,-7096,201002,94,24,"",3,69323,2,77,,2,0,0,0,290,,,,,1,,,"","BB-20"
1981826,-7097,201002,94,25,"",3,69323,2,93,,3,0,4,1,602,,,,,1,,,"","BB-21"
1981827,-7097,201002,94,25,"",3,69323,2,79,,2,0,0,0,360,,,,,1,,,"","BB-21"
1981828,-7097,201002,94,25,"",3,69323,2,91,,2,0,0,0,608,,,,,1,,,"","BB-21"
1985555,-7111,201002,94,39,"",3,69323,2,82,,2,0,0,0,460,,,,,1,,,"","DD-18"
1986954,-7113,201002,94,41,"",3,69323,2,86,,2,5,1,5,458,,,,,1,,,"","EE-19"
