"CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION"
3352407,-19783,201902,94,49,"AA-04",2,69322,1,83.1,,2,,,,398,,,,,1,,,"","AA-04"
3352408,-19783,201902,94,49,"AA-04",2,69322,1,72.3,,2,,,,252,,,,,1,,,"","AA-04"
3352409,-19783,201902,94,49,"AA-04",2,69322,1,62.5,,2,,,,166,,,,,1,,,"","AA-04"
3352431,-19574,201902,94,14,"CC-06",2,69322,1,78.7,,2,,,,334,,,,,1,,,"","CC-06"
3352433,-19576,201902,94,16,"BB-07",2,69322,1,66.3,,2,,,,184,,,,,1,,,"","BB-07"
3352434,-19576,201902,94,16,"BB-07",2,69322,1,56.4,,2,,,,132,,,,,1,,,"","BB-07"
3352435,-19576,201902,94,16,"BB-07",2,69322,1,81.6,,2,,,,346,,,,,1,,,"","BB-07"
3352436,-19576,201902,94,16,"BB-07",2,69322,1,69.1,,2,,,,226,,,,,1,,,"","BB-07"
3352439,-19738,201902,94,23,"BB-09",2,69322,1,129.6,,3,,,,1638,,,,,1,,,"","BB-09"
3352440,-19738,201902,94,23,"BB-09",2,69322,1,41.9,,2,,,,48,,,,,1,,,"","BB-09"
3352441,-19738,201902,94,23,"BB-09",2,69322,1,45.6,,2,,,,62,,,,,1,,,"","BB-09"
3352447,-19748,201902,94,29,"AA-05",2,69322,1,54.2,,2,,,,112,,,,,1,,,"","AA-05"
3354016,-19508,201902,94,10,"CC-05",2,69322,1,71.8,,2,,,,256,,,,,1,20.4,,"","CC-05"
3354017,-19508,201902,94,10,"CC-05",2,69322,1,100.3,,2,,,,676,,,,,1,31.2,,"","CC-05"
3354037,-19509,201902,94,11,"BB-05",2,69322,1,103.7,,2,,,,730,,,,,1,25.9,,"","BB-05"
3354038,-19509,201902,94,11,"BB-05",2,69322,1,85.1,,2,,,,506,,,,,1,26.2,,"","BB-05"
3354039,-19509,201902,94,11,"BB-05",2,69322,1,83.5,,2,,,,370,,,,,1,24.1,,"","BB-05"
3354040,-19509,201902,94,11,"BB-05",2,69322,1,80.2,,2,,,,336,,,,,1,20.6,,"","BB-05"
3354041,-19509,201902,94,11,"BB-05",2,69322,1,76.4,,2,,,,308,,,,,1,22.6,,"","BB-05"
3354064,-19510,201902,94,12,"BB-06",2,69322,1,86.8,,2,,,,482,,,,,1,,,"","BB-06"
3354065,-19510,201902,94,12,"BB-06",2,69322,1,70.7,,2,,,,256,,,,,1,,,"","BB-06"
3354066,-19510,201902,94,12,"BB-06",2,69322,1,69,,2,,,,248,,,,,1,,,"","BB-06"
3354067,-19510,201902,94,12,"BB-06",2,69322,1,68.3,,2,,,,228,,,,,1,,,"","BB-06"
3354068,-19510,201902,94,12,"BB-06",2,69322,1,76.4,,2,,,,322,,,,,1,,,"","BB-06"
3354069,-19510,201902,94,12,"BB-06",2,69322,1,75.7,,2,,,,320,,,,,1,,,"","BB-06"
3353344,-19782,201902,94,48,"AA-03",2,69322,1,69.3,,2,,,,246,,,,,1,,,"","AA-03"
3353345,-19782,201902,94,48,"AA-03",2,69322,1,85.8,,3,,,,510,,,,,1,,,"","AA-03"
3353346,-19782,201902,94,48,"AA-03",2,69322,1,68.9,,3,,,,280,,,,,1,,,"","AA-03"
3353347,-19782,201902,94,48,"AA-03",2,69322,1,85.9,,2,,,,528,,,,,1,,,"","AA-03"
3353348,-19782,201902,94,48,"AA-03",2,69322,1,75.8,,2,,,,318,,,,,1,,,"","AA-03"
3353349,-19782,201902,94,48,"AA-03",2,69322,1,63.8,,2,,,,198,,,,,1,,,"","AA-03"
3353350,-19782,201902,94,48,"AA-03",2,69322,1,67.4,,2,,,,238,,,,,1,,,"","AA-03"
3353351,-19782,201902,94,48,"AA-03",2,69322,1,67.8,,2,,,,248,,,,,1,,,"","AA-03"
3353352,-19782,201902,94,48,"AA-03",2,69322,1,71.6,,2,,,,260,,,,,1,,,"","AA-03"
3353353,-19782,201902,94,48,"AA-03",2,69322,1,72.2,,2,,,,298,,,,,1,,,"","AA-03"
3353354,-19782,201902,94,48,"AA-03",2,69322,1,68.7,,2,,,,270,,,,,1,,,"","AA-03"
3354083,-19750,201902,94,31,"ZZ-04",2,69322,1,66.8,,2,,,,224,,,,,1,,,"","ZZ-04"
3354084,-19750,201902,94,31,"ZZ-04",2,69322,1,61.3,,2,,,,158,,,,,1,,,"","ZZ-04"
3354143,-19781,201902,94,47,"BB-03",2,69322,1,70.4,,2,,,,246,,,,,1,,,"","BB-03"
3354144,-19781,201902,94,47,"BB-03",2,69322,1,75.4,,2,,,,352,,,,,1,,,"","BB-03"
3355147,-19784,201902,94,50,"BB-04",2,69322,1,100.3,,2,,,,750,,,,,1,,,"","BB-04"
3355148,-19784,201902,94,50,"BB-04",2,69322,1,61.9,,2,,,,148,,,,,1,,,"","BB-04"
3355149,-19784,201902,94,50,"BB-04",2,69322,1,72.7,,2,,,,280,,,,,1,,,"","BB-04"
3355150,-19784,201902,94,50,"BB-04",2,69322,1,77.3,,2,,,,364,,,,,1,,,"","BB-04"
3354145,-19781,201902,94,47,"BB-03",2,69322,1,65.5,,2,,,,212,,,,,1,,,"","BB-03"
3354146,-19781,201902,94,47,"BB-03",2,69322,1,75.7,,2,,,,278,,,,,1,,,"","BB-03"
3354147,-19781,201902,94,47,"BB-03",2,69322,1,72.1,,2,,,,304,,,,,1,,,"","BB-03"
3354148,-19781,201902,94,47,"BB-03",2,69322,1,63.4,,2,,,,274,,,,,1,,,"","BB-03"
3354149,-19781,201902,94,47,"BB-03",2,69322,1,65.1,,2,,,,276,,,,,1,,,"","BB-03"
3354150,-19781,201902,94,47,"BB-03",2,69322,1,86.1,,2,,,,496,,,,,1,,,"","BB-03"
3354151,-19781,201902,94,47,"BB-03",2,69322,1,74.1,,2,,,,332,,,,,1,,,"","BB-03"
3354152,-19781,201902,94,47,"BB-03",2,69322,1,76.2,,2,,,,372,,,,,1,,,"","BB-03"
3354153,-19781,201902,94,47,"BB-03",2,69322,1,66.7,,2,,,,218,,,,,1,,,"","BB-03"
3354154,-19781,201902,94,47,"BB-03",2,69322,1,65.7,,2,,,,204,,,,,1,,,"","BB-03"
3354155,-19781,201902,94,47,"BB-03",2,69322,1,77,,2,,,,380,,,,,1,,,"","BB-03"
3354156,-19781,201902,94,47,"BB-03",2,69322,1,117.6,,3,,,,1538,,,,,1,,,"","BB-03"
3345388,-19506,201902,162,12,"CC-03",2,69322,1,61.8,,2,,,,180,,,,,1,,,"","CC-03"
3345389,-19506,201902,162,12,"CC-03",2,69322,1,45.7,,2,,,,64,,,,,1,,,"","CC-03"
3345390,-19506,201902,162,12,"CC-03",2,69322,1,75.3,,2,,,,300,,,,,1,,,"","CC-03"
3345391,-19506,201902,162,12,"CC-03",2,69322,1,68.1,,2,,,,252,,,,,1,,,"","CC-03"
3345392,-19506,201902,162,12,"CC-03",2,69322,1,81.3,,2,,,,422,,,,,1,,,"","CC-03"
3344252,-19582,201902,162,17,"FF-01",2,69322,1,98.5,,3,,,,825,,,,,1,,,"","FF-01"
3345837,-19740,201902,162,24,"CC-02",2,69322,1,96.4,,2,,,,725,,,,,1,,,"","CC-02"
3345838,-19740,201902,162,24,"CC-02",2,69322,1,85.2,,2,,,,560,,,,,1,,,"","CC-02"
3345839,-19740,201902,162,24,"CC-02",2,69322,1,80.3,,2,,,,410,,,,,1,,,"","CC-02"
3345840,-19740,201902,162,24,"CC-02",2,69322,1,71.8,,2,,,,325,,,,,1,,,"","CC-02"
3345841,-19740,201902,162,24,"CC-02",2,69322,1,83.7,,2,,,,470,,,,,1,,,"","CC-02"
3345432,-19579,201902,162,14,"DD-02",2,69322,1,71.7,,3,,,,280,,,,,1,,,"","DD-02"
3345433,-19579,201902,162,14,"DD-02",2,69322,1,73,,3,,,,350,,,,,1,,,"","DD-02"
3345275,-19505,201902,162,11,"CC-04",2,69322,1,133.8,,4,,,,1902,,,,,1,,,"","CC-04"
3345276,-19505,201902,162,11,"CC-04",2,69322,1,80.5,,2,,,,322,,,,,1,,,"","CC-04"
3345277,-19505,201902,162,11,"CC-04",2,69322,1,66.9,,2,,,,212,,,,,1,,,"","CC-04"
3345278,-19505,201902,162,11,"CC-04",2,69322,1,85.8,,2,,,,454,,,,,1,,,"","CC-04"
1990073,-7150,201002,94,78,"",2,69322,1,97,,2,,,,742,,,,,1,28,,"","CC-04"
1988670,-7135,201002,94,63,"",2,69322,1,94,,2,,,,644,,,,,1,29,,"","BB-06"
1988671,-7135,201002,94,63,"",2,69322,1,82,,2,,,,416,,,,,1,24,,"","BB-06"
1988693,-7137,201002,94,65,"",2,69322,1,107,,3,,,,1058,,,,,1,36,,"","BB-07"
1988694,-7137,201002,94,65,"",2,69322,1,110,,3,,,,1032,,,,,1,35,,"","BB-07"
1988695,-7137,201002,94,65,"",2,69322,1,123,,2,,,,1322,,,,,1,40,,"","BB-07"
1988727,-7147,201002,94,75,"",2,69322,1,29,,2,,,,16,,,,,1,9,,"","CC-07"
1988705,-7138,201002,94,66,"",2,69322,1,102,,2,,,,866,,,,,1,33,,"","AA-07"
1988708,-7140,201002,94,68,"",2,69322,1,109,,3,,,,1090,,,,,1,37,,"","BB-08"
1988709,-7140,201002,94,68,"",2,69322,1,76,,3,,,,356,,,,,1,22,,"","BB-08"
1988710,-7140,201002,94,68,"",2,69322,1,114,,4,,,,1248,,,,,1,36,,"","BB-08"
1988715,-7141,201002,94,69,"",2,69322,1,114,,3,,,,1300,,,,,1,39,,"","BB-09"
1988716,-7141,201002,94,69,"",2,69322,1,18,,2,,,,6,,,,,1,5,,"","BB-09"
1988514,-7133,201002,94,61,"",2,69322,1,113,,3,,,,1144,,,,,1,36,,"","BB-04"
1977579,-7077,201002,94,5,"",2,69322,1,115,,4,,,,1350,,,,,1,,,"","T-01"
1988942,-7128,201002,94,56,"",2,69322,1,103,,3,,,,866,,,,,1,33,,"","Y-04"
1987961,-7120,201002,94,48,"",2,69322,1,60,,2,,,,126,,,,,1,11,,"","DD-03"
1987962,-7120,201002,94,48,"",2,69322,1,46,,2,,,,60,,,,,1,11,,"","DD-03"
1988951,-7131,201002,94,59,"",2,69322,1,95,,2,,,,758,,,,,1,31,,"","AA-05"
1988952,-7131,201002,94,59,"",2,69322,1,92,,3,,,,692,,,,,1,29,,"","AA-05"
1988953,-7131,201002,94,59,"",2,69322,1,128,,4,,,,1740,,,,,1,43,,"","AA-05"
1988954,-7131,201002,94,59,"",2,69322,1,86,,3,,,,456,,,,,1,25,,"","AA-05"
1988175,-7134,201002,94,62,"",2,69322,1,103,,3,,,,894,,,,,1,32,,"","BB-05"
1988176,-7134,201002,94,62,"",2,69322,1,96,,3,,,,762,,,,,1,29,,"","BB-05"
1988177,-7134,201002,94,62,"",2,69322,1,100,,3,,,,820,,,,,1,30,,"","BB-05"
1988178,-7134,201002,94,62,"",2,69322,1,87,,2,,,,506,,,,,1,27,,"","BB-05"
1988179,-7134,201002,94,62,"",2,69322,1,75,,2,,,,324,,,,,1,21,,"","BB-05"
1988180,-7134,201002,94,62,"",2,69322,1,109,,3,,,,1112,,,,,1,34,,"","BB-05"
1988181,-7134,201002,94,62,"",2,69322,1,88,,3,,,,1516,,,,,1,27,,"","BB-05"
1989602,-7148,201002,94,76,"",2,69322,1,31,,2,,,,16,,,,,1,8,,"","CC-06"
1989610,-7149,201002,94,77,"",2,69322,1,103,,3,,,,876,,,,,1,33,,"","CC-05"
1989611,-7149,201002,94,77,"",2,69322,1,94,,3,,,,692,,,,,1,29,,"","CC-05"
1989612,-7149,201002,94,77,"",2,69322,1,112,,4,,,,1124,,,,,1,34,,"","CC-05"
1989613,-7149,201002,94,77,"",2,69322,1,93,,3,,,,604,,,,,1,27,,"","CC-05"
1989614,-7149,201002,94,77,"",2,69322,1,83,,2,,,,456,,,,,1,25,,"","CC-05"
1989615,-7149,201002,94,77,"",2,69322,1,89,,2,,,,566,,,,,1,26,,"","CC-05"
1989616,-7149,201002,94,77,"",2,69322,1,86,,2,,,,432,,,,,1,26,,"","CC-05"
1989617,-7149,201002,94,77,"",2,69322,1,96,,2,,,,730,,,,,1,30,,"","CC-05"
1989618,-7149,201002,94,77,"",2,69322,1,86,,2,,,,488,,,,,1,27,,"","CC-05"
1989619,-7149,201002,94,77,"",2,69322,1,107,,2,,,,964,,,,,1,34,,"","CC-05"
1989620,-7149,201002,94,77,"",2,69322,1,113,,2,,,,1126,,,,,1,37,,"","CC-05"
1989621,-7149,201002,94,77,"",2,69322,1,120,,2,,,,1302,,,,,1,38,,"","CC-05"
1989622,-7149,201002,94,77,"",2,69322,1,98,,2,,,,824,,,,,1,31,,"","CC-05"
1989623,-7149,201002,94,77,"",2,69322,1,97,,2,,,,702,,,,,1,30,,"","CC-05"
1989624,-7149,201002,94,77,"",2,69322,1,101,,2,,,,808,,,,,1,32,,"","CC-05"
1989625,-7149,201002,94,77,"",2,69322,1,106,,2,,,,840,,,,,1,32,,"","CC-05"
1989626,-7149,201002,94,77,"",2,69322,1,112,,3,,,,1178,,,,,1,36,,"","CC-05"
1989627,-7149,201002,94,77,"",2,69322,1,141,,4,,,,2162,,,,,1,44,,"","CC-05"
1989628,-7149,201002,94,77,"",2,69322,1,29,,2,,,,16,,,,,1,8,,"","CC-05"
3496562,-20667,202102,162,55,"BB-07",2,69322,1,55.7,,2,,,,123,,,,,1,15,,"","BB-07"
3496587,-20670,202102,162,58,"BB-08",2,69322,1,68,,1,,,,199,,,,,1,20,,"","BB-08"
3496588,-20670,202102,162,58,"BB-08",2,69322,1,91.7,,1,,,,460,,,,,1,27.8,,"","BB-08"
3496589,-20670,202102,162,58,"BB-08",2,69322,1,93,,1,,,,522,,,,,1,29.2,,"","BB-08"
3496590,-20670,202102,162,58,"BB-08",2,69322,1,90.6,,1,,,,514,,,,,1,26,,"","BB-08"
3496591,-20670,202102,162,58,"BB-08",2,69322,1,90.9,,1,,,,485,,,,,1,27.8,,"","BB-08"
3496592,-20670,202102,162,58,"BB-08",2,69322,1,100.8,,1,,,,709,,,,,1,17.4,,"","BB-08"
3496593,-20670,202102,162,58,"BB-08",2,69322,1,91.7,,3,,,,578,,,,,1,27.9,,"","BB-08"
3496594,-20670,202102,162,58,"BB-08",2,69322,1,81.6,,2,,,,349,,,,,1,26.1,,"","BB-08"
3504564,-20660,202102,94,35,"CC-04",2,69322,1,76.9,,2,,,,284,,,,,1,,,"","CC-04"
3504565,-20660,202102,94,35,"CC-04",2,69322,1,78.1,,2,,,,350,,,,,1,,,"","CC-04"
3504566,-20660,202102,94,35,"CC-04",2,69322,1,96.6,,2,,,,620,,,,,1,,,"","CC-04"
3504567,-20660,202102,94,35,"CC-04",2,69322,1,76.7,,2,,,,320,,,,,1,,,"","CC-04"
