"","CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION","YEAR","log.length","log.weight","Cooks_D","SC"
"34",3166458,-17392,201702,94,40,"CC-07",2,69322,1,109.1,NA,2,NA,NA,NA,1006,NA,NA,NA,NA,1,32.3,NA,NA,"CC-07","2017",4.69226489283902,6.91373735065968,9.67092788209826e-05,"NS"
"35",3166459,-17392,201702,94,40,"CC-07",2,69322,1,117,NA,2,NA,NA,NA,1314,NA,NA,NA,NA,1,39.3,NA,NA,"CC-07","2017",4.76217393479776,7.18083119904456,0.00241027624031029,"NS"
"36",3166460,-17392,201702,94,40,"CC-07",2,69322,1,84.5,NA,2,NA,NA,NA,528,NA,NA,NA,NA,1,26,NA,NA,"CC-07","2017",4.43675153436313,6.26909628370626,0.00709511870572895,"NS"
"37",3166461,-17392,201702,94,40,"CC-07",2,69322,1,71.1,NA,2,NA,NA,NA,282,NA,NA,NA,NA,1,20,NA,NA,"CC-07","2017",4.26408733680919,5.64190707093811,0.000992651798976508,"NS"
"38",3166462,-17392,201702,94,40,"CC-07",2,69322,1,80,NA,2,NA,NA,NA,376,NA,NA,NA,NA,1,22.3,NA,NA,"CC-07","2017",4.38202663467388,5.92958914338989,3.76309916189723e-05,"NS"
"39",3166463,-17392,201702,94,40,"CC-07",2,69322,1,84.6,NA,2,NA,NA,NA,488,NA,NA,NA,NA,1,25.6,NA,NA,"CC-07","2017",4.43793426661218,6.19031540585315,0.00163769941051728,"NS"
"40",3166464,-17392,201702,94,40,"CC-07",2,69322,1,86.9,NA,2,NA,NA,NA,574,NA,NA,NA,NA,1,29.3,NA,NA,"CC-07","2017",4.46475803227135,6.35262939631957,0.00716887259641682,"NS"
"41",3166465,-17392,201702,94,40,"CC-07",2,69322,1,86.8,NA,2,NA,NA,NA,556,NA,NA,NA,NA,1,25.8,NA,NA,"CC-07","2017",4.4636066216663,6.32076829425058,0.00478767185676253,"NS"
"42",3166466,-17392,201702,94,40,"CC-07",2,69322,1,76.4,NA,2,NA,NA,NA,370,NA,NA,NA,NA,1,17.6,NA,NA,"CC-07","2017",4.33598269617247,5.91350300563827,0.00323038061583845,"NS"
"43",3166477,-17388,201702,94,32,"BB-08",2,69322,1,28.8,NA,2,NA,NA,NA,18,NA,NA,NA,NA,1,8.2,NA,NA,"BB-08","2017",3.3603753871419,2.89037175789616,0.0130440104754396,"NS"
"50",3352405,-19783,201902,94,49,"AA-04",2,69322,1,71.5,NA,2,NA,NA,NA,286,NA,NA,NA,NA,1,NA,NA,NA,"AA-04","2019",4.26969744969996,5.65599181081985,0.000896552343517871,"NS"
"51",3352406,-19783,201902,94,49,"AA-04",2,69322,1,88.9,NA,2,NA,NA,NA,494,NA,NA,NA,NA,1,NA,NA,NA,"AA-04","2019",4.48751214251986,6.20253551718792,0.0012961085820765,"NS"
"52",3352407,-19783,201902,94,49,"AA-04",2,69322,1,83.1,NA,2,NA,NA,NA,398,NA,NA,NA,NA,1,NA,NA,NA,"AA-04","2019",4.4200447018614,5.98645200528444,0.00144715492731506,"NS"
"53",3352408,-19783,201902,94,49,"AA-04",2,69322,1,72.3,NA,2,NA,NA,NA,252,NA,NA,NA,NA,1,NA,NA,NA,"AA-04","2019",4.28082412916472,5.52942908751142,0.0023835637787399,"NS"
