"","CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION","YEAR","log.length","log.weight","Cooks_D","SC"
"30",3159448,-17455,201702,162,51,"BB-20",3,69323,1,111,NA,2,NA,NA,NA,1014,NA,NA,NA,NA,1,NA,NA,NA,"BB-20","2017",4.70953020131233,6.92165818415113,0.00577032909358916,"NS"
"31",3159449,-17455,201702,162,51,"BB-20",3,69323,1,148.5,NA,2,NA,NA,NA,2708,NA,NA,NA,NA,1,NA,NA,NA,"BB-20","2017",5.00058495824275,7.90396563403217,0.0013208532838659,"NS"
"32",3159698,-17384,201702,162,46,"AA-22",3,69323,1,80,NA,2,NA,NA,NA,408,NA,NA,NA,NA,1,NA,NA,NA,"AA-22","2017",4.38202663467388,6.01126717440416,0.000941610903855669,"NS"
"33",3159701,-17385,201702,162,47,"BB-22",3,69323,1,45.7,NA,2,NA,NA,NA,64,NA,NA,NA,NA,1,NA,NA,NA,"BB-22","2017",3.82209829790016,4.15888308335967,0.00303651167777566,"NS"
"34",3159702,-17385,201702,162,47,"BB-22",3,69323,1,71.4,NA,2,NA,NA,NA,248,NA,NA,NA,NA,1,NA,NA,NA,"BB-22","2017",4.26829786934554,5.51342874616498,0.00547569303736235,"NS"
"35",3159703,-17385,201702,162,47,"BB-22",3,69323,1,81.4,NA,2,NA,NA,NA,408,NA,NA,NA,NA,1,NA,NA,NA,"BB-22","2017",4.39937527300849,6.01126717440416,4.97544155202404e-05,"NS"
"36",3159704,-17385,201702,162,47,"BB-22",3,69323,1,87.2,NA,2,NA,NA,NA,538,NA,NA,NA,NA,1,NA,NA,NA,"BB-22","2017",4.46820433091493,6.28785856016178,0.00102649812194598,"NS"
"37",3159705,-17385,201702,162,47,"BB-22",3,69323,1,44.6,NA,2,NA,NA,NA,56,NA,NA,NA,NA,1,NA,NA,NA,"BB-22","2017",3.79773385902602,4.02535169073515,0.0245356449897328,"NS"
"38",3159706,-17385,201702,162,47,"BB-22",3,69323,1,112.9,NA,2,NA,NA,NA,1336,NA,NA,NA,NA,1,NA,NA,NA,"BB-22","2017",4.72650247115562,7.19743535409659,0.0168968380248886,"NS"
"39",3159707,-17385,201702,162,47,"BB-22",3,69323,1,34.2,NA,2,NA,NA,NA,28,NA,NA,NA,NA,1,NA,NA,NA,"BB-22","2017",3.53222564406856,3.3322045101752,0.0228426439068297,"NS"
"40",3160666,-17400,201702,162,57,"FF-18",3,69323,1,79.9,NA,2,NA,NA,NA,414,NA,NA,NA,NA,1,NA,NA,NA,"FF-18","2017",4.38077585277223,6.02586597382531,0.00189218418974317,"NS"
"41",3160667,-17400,201702,162,57,"FF-18",3,69323,1,79.7,NA,2,NA,NA,NA,406,NA,NA,NA,NA,1,NA,NA,NA,"FF-18","2017",4.37826958579617,6.00635315960173,0.00126840553385949,"NS"
"44",3160968,-17454,201702,162,50,"CC-20",3,69323,1,96.3,NA,2,NA,NA,NA,668,NA,NA,NA,NA,1,NA,NA,NA,"CC-20","2017",4.56746831880408,6.50428817353665,0.0013225811230188,"NS"
"45",3160969,-17454,201702,162,50,"CC-20",3,69323,1,120.8,NA,2,NA,NA,NA,1484,NA,NA,NA,NA,1,NA,NA,NA,"CC-20","2017",4.79413628550071,7.30249642372733,0.000954643909996007,"NS"
"46",3160970,-17454,201702,162,50,"CC-20",3,69323,1,120,NA,2,NA,NA,NA,1530,NA,NA,NA,NA,1,NA,NA,NA,"CC-20","2017",4.78749174278205,7.33302301438648,0.00717165714213914,"NS"
"48",3160979,-17455,201702,162,51,"BB-20",3,69323,1,86.1,NA,2,NA,NA,NA,546,NA,NA,NA,NA,1,NA,NA,NA,"BB-20","2017",4.45550941143368,6.30261897574491,0.00471836579117661,"NS"
"50",3162302,-17421,201702,162,67,"CC-18",3,69323,1,101.4,NA,2,NA,NA,NA,818,NA,NA,NA,NA,1,NA,NA,NA,"CC-18","2017",4.61907309115708,6.70686233660275,7.9168477380969e-05,"NS"
"51",3162303,-17421,201702,162,67,"CC-18",3,69323,1,98.6,NA,2,NA,NA,NA,836,NA,NA,NA,NA,1,NA,NA,NA,"CC-18","2017",4.59107126160859,6.7286286130847,0.00545752029928163,"NS"
"52",3161994,-17423,201702,162,69,"BB-19",3,69323,1,130.4,NA,2,NA,NA,NA,1770,NA,NA,NA,NA,1,NA,NA,NA,"BB-19","2017",4.87060664949255,7.47873482556787,0.00204678845377391,"NS"
"53",3161995,-17423,201702,162,69,"BB-19",3,69323,1,100.6,NA,2,NA,NA,NA,720,NA,NA,NA,NA,1,NA,NA,NA,"BB-19","2017",4.61115225766564,6.5792512120101,0.00765826049564656,"NS"
"54",3161996,-17423,201702,162,69,"BB-19",3,69323,1,109.7,NA,2,NA,NA,NA,1010,NA,NA,NA,NA,1,NA,NA,NA,"BB-19","2017",4.69774936728118,6.9177056098353,0.00198925603333332,"NS"
"58",3219769,-18209,201802,162,220,"NBS-9",NA,69323,1,54.1,NA,2,NA,NA,NA,118,NA,NA,NA,NA,1,19.8,NA,NA,"NBS-9","2018",3.99083418585244,4.77068462446567,0.00339265061912533,"NS"
"59",3220111,-18208,201802,162,219,"NBS-24",NA,69323,1,121.7,NA,2,NA,NA,NA,1454,NA,NA,NA,NA,1,44.8,NA,NA,"NBS-24","2018",4.80155899999348,7.28207365809346,0.000256705738633152,"NS"
"63",3349868,-19771,201902,162,38,"BB-20",3,69323,1,98.5,NA,2,NA,NA,NA,715,NA,NA,NA,NA,1,NA,NA,NA,"BB-20","2019",4.59005654817804,6.57228254269401,0.0016158720422247,"NS"
"64",3349869,-19771,201902,162,38,"BB-20",3,69323,1,91.3,NA,2,NA,NA,NA,640,NA,NA,NA,NA,1,NA,NA,NA,"BB-20","2019",4.51415078760092,6.46146817635372,0.00268772424897344,"NS"
"65",3349870,-19771,201902,162,38,"BB-20",3,69323,1,86.6,NA,2,NA,NA,NA,530,NA,NA,NA,NA,1,NA,NA,NA,"BB-20","2019",4.46129981556839,6.27287700654617,0.00134077694236062,"NS"
"66",3349871,-19771,201902,162,38,"BB-20",3,69323,1,62.6,NA,2,NA,NA,NA,175,NA,NA,NA,NA,1,NA,NA,NA,"BB-20","2019",4.13676527810605,5.16478597392351,0.000597253717178443,"NS"
