"","CRAB_ID","HAULJOIN","CRUISE","VESSEL","HAUL","STATION","SPECIES_KFRC","SPECIES_CODE","SEX","LENGTH","WIDTH","SHELL_CONDITION","EGG_COLOR","EGG_CONDITION","CLUTCH_SIZE","WEIGHT","DISEASE_CODE","DISEASE_DORSAL","DISEASE_VENTRAL","DISEASE_LEGS","SAMPLING_FACTOR","CHELA_HEIGHT","MERUS_LENGTH","COMMENTS","GIS_STATION","YEAR","log.width","log.weight","Cooks_D","SC"
"28",3155339,-17363,201702,162,33,"Y-22",7,68580,1,NA,41,2,NA,NA,NA,26,NA,NA,NA,NA,1,NA,NA,"","Y-22","2017",3.71357206670431,3.25809653802148,6.13228537200501e-06,"NS"
"29",3155340,-17363,201702,162,33,"Y-22",7,68580,1,NA,30.6,2,NA,NA,NA,10,NA,NA,NA,NA,1,NA,NA,"","Y-22","2017",3.42100000895834,2.30258509299405,0.000374477341879224,"NS"
"30",3155341,-17363,201702,162,33,"Y-22",7,68580,1,NA,44.8,2,NA,NA,NA,34,NA,NA,NA,NA,1,NA,NA,"","Y-22","2017",3.80220813942094,3.52636052461616,5.75534701287461e-06,"NS"
"31",3155342,-17363,201702,162,33,"Y-22",7,68580,1,NA,45.4,2,NA,NA,NA,34,NA,NA,NA,NA,1,NA,NA,"","Y-22","2017",3.8155121050473,3.52636052461616,6.27453333757691e-05,"NS"
"32",3154751,-17433,201702,162,78,"ZZ-02",7,68580,1,NA,40.5,2,NA,NA,NA,24,NA,NA,NA,NA,1,6.2,NA,"","ZZ-02","2017",3.70130197411249,3.17805383034795,7.33530005784436e-05,"NS"
"33",3154752,-17433,201702,162,78,"ZZ-02",7,68580,1,NA,35.1,2,NA,NA,NA,16,NA,NA,NA,NA,1,5.4,NA,"","ZZ-02","2017",3.55820113047182,2.77258872223978,3.29111607540643e-05,"NS"
"34",3154753,-17433,201702,162,78,"ZZ-02",7,68580,1,NA,34,2,NA,NA,NA,14,NA,NA,NA,NA,1,5.4,NA,"","ZZ-02","2017",3.52636052461616,2.63905732961526,0.000165300804786893,"NS"
"35",3154786,-17350,201702,162,27,"W-19",7,68580,1,NA,45.1,2,NA,NA,NA,38,NA,NA,NA,NA,41.35738,7.2,NA,"","W-19","2017",3.80888224650863,3.63758615972639,0.000100624112466917,"NS"
"36",3154787,-17350,201702,162,27,"W-19",7,68580,1,NA,47.5,2,NA,NA,NA,42,NA,NA,NA,NA,41.35738,7.5,NA,"","W-19","2017",3.8607297110406,3.73766961828337,5.53770663610755e-06,"NS"
"37",3154788,-17350,201702,162,27,"W-19",7,68580,1,NA,40.3,2,NA,NA,NA,26,NA,NA,NA,NA,41.35738,6.2,NA,"","W-19","2017",3.69635146895264,3.25809653802148,2.37939276963193e-05,"NS"
"38",3154789,-17350,201702,162,27,"W-19",7,68580,1,NA,57.2,2,NA,NA,NA,80,NA,NA,NA,NA,41.35738,12,NA,"","W-19","2017",4.04655389838575,4.38202663467388,0.000338009321205943,"NS"
"39",3154790,-17350,201702,162,27,"W-19",7,68580,1,NA,44.8,2,NA,NA,NA,32,NA,NA,NA,NA,41.35738,7.2,NA,"","W-19","2017",3.80220813942094,3.46573590279973,0.000113713309623567,"NS"
"40",3154857,-17325,201702,162,22,"X-19",7,68580,1,NA,45,2,NA,NA,NA,34,NA,NA,NA,NA,17.15497,7.5,NA,"","X-19","2017",3.80666248977032,3.52636052461616,1.79896064330299e-05,"NS"
"41",3154858,-17325,201702,162,22,"X-19",7,68580,1,NA,42.2,2,NA,NA,NA,28,NA,NA,NA,NA,17.15497,7,NA,"","X-19","2017",3.74242022104197,3.3322045101752,1.79587051786421e-05,"NS"
"42",3154859,-17325,201702,162,22,"X-19",7,68580,1,NA,54,2,NA,NA,NA,60,NA,NA,NA,NA,17.15497,8.7,NA,"","X-19","2017",3.98898404656427,4.0943445622221,6.08495849543523e-06,"NS"
"43",3154860,-17325,201702,162,22,"X-19",7,68580,1,NA,45,2,NA,NA,NA,34,NA,NA,NA,NA,17.15497,7.8,NA,"","X-19","2017",3.80666248977032,3.52636052461616,1.79896064330299e-05,"NS"
"44",3155286,-17353,201702,162,29,"W-20",7,68580,1,NA,31.8,2,NA,NA,NA,12,NA,NA,NA,NA,4.225,4.8,NA,"","W-20","2017",3.45946628978613,2.484906649788,2.07620261164396e-05,"NS"
"45",3155287,-17353,201702,162,29,"W-20",7,68580,1,NA,32,2,NA,NA,NA,14,NA,NA,NA,NA,4.225,4.8,NA,"","W-20","2017",3.46573590279973,2.63905732961526,0.000527027039111588,"NS"
"46",3155930,-17366,201702,162,36,"X-26",7,68580,1,NA,43.3,2,NA,NA,NA,32,NA,NA,NA,NA,1,6.4,NA,"","X-26","2017",3.76815263500844,3.46573590279973,1.13954649124196e-05,"NS"
"47",3155931,-17366,201702,162,36,"X-26",7,68580,1,NA,61.9,2,NA,NA,NA,90,NA,NA,NA,NA,1,10.3,NA,"","X-26","2017",4.12552017969055,4.49980967033027,2.25540422324884e-05,"NS"
"48",3155932,-17366,201702,162,36,"X-26",7,68580,1,NA,55.6,2,NA,NA,NA,62,NA,NA,NA,NA,1,8.8,NA,"","X-26","2017",4.01818320125654,4.12713438504509,0.000154310617151738,"NS"
"49",3155933,-17366,201702,162,36,"X-26",7,68580,1,NA,49.3,2,NA,NA,NA,46,NA,NA,NA,NA,1,8.3,NA,"","X-26","2017",3.89792408104864,3.8286413964891,5.1390690475276e-07,"NS"
"50",3155934,-17366,201702,162,36,"X-26",7,68580,1,NA,48.5,2,NA,NA,NA,48,NA,NA,NA,NA,1,8.8,NA,"","X-26","2017",3.88156379794344,3.87120101090789,0.000157927910689646,"NS"
"51",3156148,-17364,201702,162,34,"X-22",7,68580,1,NA,54.2,2,NA,NA,NA,62,NA,NA,NA,NA,1,9.4,NA,"","X-22","2017",3.9926809084456,4.12713438504509,1.38812780414095e-06,"NS"
"52",3155393,-17364,201702,162,34,"X-22",7,68580,1,NA,29.5,2,NA,NA,NA,8,NA,NA,NA,NA,15.60961,4.3,NA,"","X-22","2017",3.38439026334577,2.07944154167984,0.00219436511408776,"NS"
"53",3155394,-17364,201702,162,34,"X-22",7,68580,1,NA,35.8,2,NA,NA,NA,18,NA,NA,NA,NA,15.60961,5.5,NA,"","X-22","2017",3.57794789340665,2.89037175789616,1.72517984719967e-05,"NS"
"54",3155395,-17364,201702,162,34,"X-22",7,68580,1,NA,45,2,NA,NA,NA,38,NA,NA,NA,NA,15.60961,7.4,NA,"","X-22","2017",3.80666248977032,3.63758615972639,0.000119695573345673,"NS"
"55",3155396,-17364,201702,162,34,"X-22",7,68580,1,NA,34.4,2,NA,NA,NA,16,NA,NA,NA,NA,15.60961,5.2,NA,"","X-22","2017",3.53805656437935,2.77258872223978,2.46473642293738e-05,"NS"
"56",3155397,-17364,201702,162,34,"X-22",7,68580,1,NA,37.7,2,NA,NA,NA,20,NA,NA,NA,NA,15.60961,6.3,NA,"","X-22","2017",3.62966009445396,2.99573227355399,1.63350025540333e-05,"NS"
"57",3155562,-17354,201702,162,30,"X-20",7,68580,1,NA,21.1,2,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,"","X-20","2017",3.04927304048202,1.38629436111989,0.00204892005424541,"NS"
"58",3155571,-17355,201702,162,31,"X-21",7,68580,1,NA,26.5,2,NA,NA,NA,8,NA,NA,NA,NA,1,3.8,NA,"","X-21","2017",3.27714473299218,2.07944154167984,0.00117919153235885,"NS"
"59",3155572,-17355,201702,162,31,"X-21",7,68580,1,NA,29.2,2,NA,NA,NA,10,NA,NA,NA,NA,1,4.5,NA,"","X-21","2017",3.37416870927424,2.30258509299405,0.000161831463867977,"NS"
"60",3155785,-17365,201702,162,35,"X-23",7,68580,1,NA,52.5,2,NA,NA,NA,54,NA,NA,NA,NA,1,7.9,NA,"","X-23","2017",3.96081316959758,3.98898404656427,3.12867745050886e-05,"NS"
"61",3155786,-17365,201702,162,35,"X-23",7,68580,1,NA,55.1,2,NA,NA,NA,70,NA,NA,NA,NA,1,8.9,NA,"","X-23","2017",4.00914971615887,4.24849524204936,0.000187031189276109,"NS"
"62",3155787,-17365,201702,162,35,"X-23",7,68580,1,NA,56.3,2,NA,NA,NA,68,NA,NA,NA,NA,1,9.2,NA,"","X-23","2017",4.03069453514564,4.21950770517611,8.03343223158782e-06,"NS"
